,year,title,original_title,date_published,genre,duration,country,production_company,avg_vote,metascore,content_rating,book,worlwide_gross_income1,worlwide_gross_income2,budget1,budget2,oscar_win,book2,G,NC17,NR,PG,PG-13,R
640,2011,Cowboys & Aliens,Cowboys & Aliens,2011-10-14,"Action, Sci-Fi, Thriller",119,"USA, India",Universal Pictures,6.0,50.0,PG-13,,$,174822325,$,163000000.0,0,0,0,0,0,0,1,0
641,2011,Real Steel,Real Steel,2011-11-25,"Action, Drama, Sci-Fi",127,"USA, India",DreamWorks,7.1,56.0,PG-13,,$,299268508,$,110000000.0,0,0,0,0,0,0,1,0
642,2011,Il gatto con gli stivali,Puss in Boots,2011-12-16,"Animation, Adventure, Comedy",90,USA,DreamWorks Animation,6.6,65.0,PG,,$,554987477,$,130000000.0,0,0,0,0,0,1,0,0
643,2011,Captain America - Il primo Vendicatore,Captain America: The First Avenger,2011-07-22,"Action, Adventure, Sci-Fi",124,USA,Paramount Pictures,6.9,66.0,PG-13,,$,370569774,$,140000000.0,0,0,0,0,0,0,1,0
645,2011,Margaret,Margaret,2012-06-01,Drama,150,USA,Fox Searchlight Pictures,6.4,61.0,R,,$,564864,$,14000000.0,0,0,0,0,0,0,0,1
646,2011,Tower Heist - Colpo ad alto livello,Tower Heist,2011-11-25,"Action, Comedy, Crime",104,USA,Universal Pictures,6.2,59.0,PG-13,,$,152930623,$,75000000.0,0,0,0,0,0,0,1,0
647,2011,I Puffi,The Smurfs,2011-09-16,"Animation, Adventure, Comedy",103,"USA, Belgium, Canada",Columbia Pictures,5.4,30.0,PG,,$,563749323,$,110000000.0,0,0,0,0,0,1,0,0
649,2011,Professione assassino,The Mechanic,2011-08-24,"Action, Thriller",93,USA,CBS Films,6.6,49.0,R,,$,76130093,$,40000000.0,0,0,0,0,0,0,0,1
651,2011,"Molto forte, incredibilmente vicino",Extremely Loud & Incredibly Close,2012-05-23,"Adventure, Drama, Mystery",129,USA,Warner Bros.,6.9,46.0,PG-13,,$,55247881,$,40000000.0,0,0,0,0,0,0,1,0
654,2011,The Tree of Life,The Tree of Life,2011-05-18,"Drama, Fantasy",139,USA,Cottonwood Pictures,6.8,85.0,PG-13,,$,58409247,$,32000000.0,0,0,0,0,0,0,1,0
655,2011,L'ultimo dei Templari,Season of the Witch,2011-06-15,"Action, Adventure, Fantasy",95,USA,Atlas Entertainment,5.4,28.0,PG-13,,$,91627228,$,40000000.0,0,0,0,0,0,0,1,0
656,2011,Atlas Shrugged: Part I,Atlas Shrugged: Part I,2011-04-15,"Drama, Mystery, Sci-Fi",97,USA,Atlas Productions,5.6,28.0,PG-13,,$,4627375,$,20000000.0,0,0,0,0,0,0,1,0
657,2011,Libera uscita,Hall Pass,2011-06-15,"Comedy, Romance",105,USA,New Line Cinema,5.8,45.0,R,,$,86157237,$,36000000.0,0,0,0,0,0,0,0,1
658,2011,Something Borrowed - L'amore non ha regole,Something Borrowed,2011-05-06,"Comedy, Drama, Romance",112,USA,Alcon Entertainment,5.9,36.0,PG-13,Something Borrowed,$,65100369,$,35000000.0,0,1,0,0,0,0,1,0
