,title,original_title,year,date_published,genre,duration,country,production_company,actors,avg_vote,budget,usa_gross_income,worlwide_gross_income,metascore,content_rating,oscar_name,oscar_category,oscar_winner,book
3896,Les Tuche,Les Tuche,2011,2011-07-01,Comedy,95,France,Pathé,"Jean-Paul Rouve, Isabelle Nanty, Claire Nadeau, Théo Fernandez, Sarah Stern, Pierre Lottin, Fadila Belkebla, David Kammenos, Sami Outalbali, Karina Testa, Philippe Lefebvre, Ralph Amoussou, Jérôme Commandeur, Guy Lecluyse, Hugo Brunswick",5.4,,,$ 13867701,,,,,,
3897,Miracolo a Natale,Als der Weihnachtsmann vom Himmel fiel,2011,2011-11-24,"Comedy, Family, Fantasy",107,Germany,Bavaria Film,"Alexander Scheer, Noah Kraus, Mercedes Jadea Diaz, Jessica Schwarz, Fritz Karl, Volker Lechtenbrink, Christine Urspruch, Charly Hübner, Gruschenka Stevens, Paul Alhäuser, Tamino Wecker, Eric Evers, Annette Paulmann, Angela Mögele, Fabian Kraus",5.7,,,$ 2293533,,,,,,
3898,Mia fora kai ena... moro,Mia fora kai ena... moro,2011,2011-03-17,Comedy,86,Greece,Graal,"Petros Filippidis, Sakis Boulas, Angeliki Pavlopoulou, Markella Giannatou, Joyce Evidi, Taxiarhis Hanos, Giorgos Leffas, Anna Panagiotopoulou, Yannis Zouganelis, Maria Korinthiou, Penelope Anastasopoulou, Thomais Androutsou, Giorgos Souxes, Yannis Drakopoulos, Dimitra Bithara",5.2,,,$ 1912076,,,,,,
3899,Sal,Sal,2011,2013-11-01,"Biography, Drama",103,USA,RabbitBandini Productions,"Val Lauren, Jim Parrack, James Franco, Vince Jolivette, Trevor Neuhoff, Stacey Miller, Brian Goodman, Raymond T. Williams, Boyd Smith, Jacquelyn Deme, Jason Fox, Brian Lally, Cristian Olave, Jocelyn Ayanna, Felicity Bryant",4.8,$ 7000000,$ 6883,$ 6883,41.0,,,,,
3900,National Theatre Live: Frankenstein,National Theatre Live: Frankenstein,2011,2011-03-17,"Drama, Sci-Fi",130,UK,National Theatre,"Benedict Cumberbatch, Jonny Lee Miller, Ella Smith, John Killoran, Steven Elliot, Lizzie Winkler, Karl Johnson, Daniel Millar, Naomie Harris, Haydon Downing, Jared Richard, George Harris, Daniel Ings, Martin Chamberlain, Mark Armstrong",8.7,,$ 417783,$ 600363,,,,,,
3901,Wild Bill,Wild Bill,2011,2012-03-23,Drama,98,UK,20ten Media,"Charlie Creed-Miles, Will Poulter, Sammy Williams, Iwan Rheon, Charlotte Spencer, Rain Ryan, Marc Warren, Peter McCabe, Morgan Watkins, Radoslaw Kaim, Aaron Ishmael, Liz White, Hardeep Singh Kohli, Neil Maskell, Leo Gregory",7.2,,,$ 194099,,R,,,,
3902,Wild Bill,Wild Bill,2011,2012-03-23,Drama,98,UK,20ten Media,"Charlie Creed-Miles, Will Poulter, Sammy Williams, Iwan Rheon, Charlotte Spencer, Rain Ryan, Marc Warren, Peter McCabe, Morgan Watkins, Radoslaw Kaim, Aaron Ishmael, Liz White, Hardeep Singh Kohli, Neil Maskell, Leo Gregory",7.2,,,$ 194099,,NR,,,,
3903,Ausente - Assente,Ausente,2011,2011-08-11,"Drama, Romance, Thriller",91,Argentina,Instituto Nacional de Cine y Artes Audiovisuales (INCAA),"Carlos Echevarría, Javier De Pietro, Antonella Costa, Alejandro Barbero, Rocío Pavón, Luis Mango, Lautaro Machaca, Joan Alsina, Nicolás Fernández Rubio, Laura Dozo, Alejandra Lang, Fabio Cendra, Dolores Cano, Constanza Boquet, Liliana Popovich",6.3,,,,,,,,,
3904,Le roman de ma femme,Le roman de ma femme,2011,2011-03-02,Drama,100,France,Elzévir Films,"Olivier Gourmet, Léa Seydoux, Gilles Cohen, Maruf Pulodzoda, Kseniya Rappoport, Thibault Vinçon, Sacha Bourdo, Élise Otzenberger, Émilie Pietrobon, Pierre-Louis Turquet, Françoise Goubert, Guenaëlle Fériot, Isabelle Soares, Rémy Jantin, François Menyer",5.7,,,,,,,,,
3905,Samyy luchshiy film 3-DE,Samyy luchshiy film 3-DE,2011,2011-01-20,"Comedy, Crime",97,Russia,Action Art,"Igor Kharlamov, Pyotr Vins, Ekaterina Kuznetsova, Aleksandr Baluev, Valentin Smirnitskiy, Aleksandr Semchev, Mikhail Efremov, Oleg Sorokin, Oleg Nikolenko, Aleksandr Andrienko, Mikhail Gorskiy, Yuriy Tsurilo, Konstantin Solovyov, Valentina Ananina, Karen Badalov",2.8,,,$ 10959765,,,,,,
3906,Seance: The Summoning,Seance: The Summoning,2011,2012-05-07,"Horror, Thriller",85,USA,Berkshire Axis Media,"Bobby Campo, Nazneen Contractor, Chris Olivero, Devon Ogden, Sin Halo Jude Pfaff, Cortney Palm, Theo Kokiousis, Camille Knauer, Morgan Thornsley, Tyler Thornsley, Sam Fine, Hannah Ruben, Chad Singer, Victoria Fayad, Justin Lieberman",3.4,,,,,,,,,
3907,Gränsen,Gränsen,2011,2011-01-28,"Action, Drama, War",122,Sweden,Searock Films,"André Sjöberg, Martin Wallström, Antti Reini, Marie Robertson, Bjørn Sundquist, Henrik Norlén, Jonas Karlström, Johan Hedenberg, Anders Nordahl, Rasmus Troedsson, Jens Hultén, Robert Follin, Donald Högberg, Anna Frykedahl, Andreas Zetterberg",6.3,,,$ 240761,,,,,,
3908,Mi primera boda,Mi primera boda,2011,2011-09-01,"Comedy, Romance",102,Argentina,Film Suez,"Natalia Oreiro, Daniel Hendler, Imanol Arias, Martín Piroyansky, Muriel Santa Ana, Gabriela Acher, Gino Renni, Luz Palazón, Pochi Ducasse, Elisa Carricajo, Sebastián De Caro, Guillermina García Satur, María Alche, Chang Sung Kim, Alan Sabbagh",6.1,,,$ 1786406,,,,,,
3909,Seis puntos sobre Emma,Seis puntos sobre Emma,2011,2012-05-11,Drama,82,Spain,La Mirada Producciones,"Verónica Echegui, Antonio Velázquez, Álex García, Mariam Hernández, Mabel del Pozo, Fernando Tielve, Soledad Melián, Antonio Hernández, Blanca Rodríguez, Nacho Aldeguer, Paloma Soroa, Daniel Muriel, Sofía Valero, David Mora",5.9,,,$ 79406,,,,,,
3910,Empty,Empty,2011,2011-01-25,"Drama, Horror, Sci-Fi",82,USA,C.S. Drury Productions,"Ashley C. Williams, Jon Carlo, Barry McBrien, John Woodruff, Peter Alexandrou, Kent R. Williams, Ronald Thomas, Niecy Cerise, John Michael, Nicholas Neyeloff",3.6,$ 10000,,,,,,,,
3911,La collina dei papaveri,Kokuriko-zaka kara,2011,2012-11-06,"Animation, Drama, Family",91,Japan,Studio Ghibli,"Masami Nagasawa, Jun'ichi Okada, Keiko Takeshita, Yuriko Ishida, Rumi Hiiragi, Jun Fubuki, Takashi Naitô, Shunsuke Kazama, Nao Ohmori, Teruyuki Kagawa, Haruka Shiraishi, Tsubasa Kobayashi, Alex Wolff, Bridget Hoffman, Aoi Teshima",7.4,$ 22000000,$ 1002895,$ 61459425,71.0,,,,,
3912,La permission de minuit,La permission de minuit,2011,2011-03-02,Drama,110,France,Balthazar Productions,"Vincent Lindon, Emmanuelle Devos, Quentin Challal, Caroline Proust, Nathalie Boutefeu, Laurent Capelluto, Solène Rigot, Maxime Renard, Alexandre Boucher, Noémie Dujardin, Dominique Baeyens, Tiana Salles, Chérie Baahar, Florence Muller, Florence Hebbelynck",6.0,,,$ 601289,,,,,,
3913,"Les aventures de Philibert, capitaine puceau","Les aventures de Philibert, capitaine puceau",2011,2011-04-06,"Adventure, Comedy",103,"France, Czech Republic",Mandarin Films,"Jérémie Renier, Alexandre Astier, Manu Payet, Élodie Navarre, Eric Savin, Aurélie Montea, Ludovic Berthillot, Vincent Haquin, Gaspard Proust, Walter Shnorkell, Yves Gasc, Mathieu Ledoux, Gérard Thirion, Mauricette Gourdon, Michel Robin",5.0,,,$ 343348,,,,,,
3914,Possessions,Possessions,2011,2012-03-07,"Drama, Thriller",98,France,Incognita Films,"Jérémie Renier, Julie Depardieu, Lucien Jean-Baptiste, Alexandra Lamy, Benoît Giros, Ludmila Ruoso, Apollonia Luisetti, Olga Vasté, Laïan Monta, Keren Marciano, Andrea Montoro Combier, Ludovic Berthillot, Brice Fournier, Céline Giusiano, Christine Sireyzol",5.9,,,$ 1417706,,,,,,
3915,The Maritime Silk Road,The Maritime Silk Road,2011,2011-10-19,"Action, Adventure, Drama",114,"Iran, China, Thailand",Farabi Films,"Pegah Ahangarani, Dariush Arjmand, Payam Dehkordi, Ezzatolah Entezami, Mohsen Hosseini, Reza Kianian, Mehdi Mayamei, Bahram Radan",6.0,$ 8000000,,,,,,,,
3916,Andarushia: Megami no houfuku,Andarushia: Megami no houfuku,2011,2011-06-25,"Action, Drama",125,Japan,Dentsu,"Yûji Oda, Meisa Kuroki, Hideaki Itô, Erika Toda, Masaharu Fukuyama, Shôsuke Tanihara, Takeshi Kaga, Isao Natsuyagi, Iñigo Aranburu, Tony Corvillo, Julius Cotter, Pedro Gutierrez, Pep Molina, Santi Pons, Dasha Teranishi",6.1,,,$ 22929221,,,,,,
3917,Regretting Fish,Regretting Fish,2011,2011-09-22,"Crime, Drama, Thriller",82,USA,Cadillac Films,"Carmel Amit, William Apps, Selene Beretta, Penny Bittone, Richard Brundage, Marek Dolobac, Nick Flint, Jennifer Fouche, Olja Hrustic, Madeleine James, Stass Klassen, Robert Kubis, Sarah Lemp, Igor Litwinowicz, David Marcus",6.5,$ 12000,,,,,,,,
3918,Czech-Made Man,Czech-Made Man,2011,2011-04-27,Comedy,96,Czech Republic,NOGUP Agency,"Jan Budar, Martin Písarík, Predrag Bjelac, Milan Steindler, Veronika Hong, Dominika Danosová, Nikola Danosová, Mei Yin Kang, Martin Hranác, Lukás Kohout, Katerina Brozová, Petr Ctvrtnícek, Norbert Lichý, Andy Arnautov, Andrieve Rodriguez Dourado",6.2,,,$ 349947,,,,,,
3919,God Don't Make the Laws,God Don't Make the Laws,2011,2011-12-01,Drama,100,USA,Three Dog Films,"Ella Rae Peck, Lucas Salvagno, Robert Prescott, Peter Vack, Jason Jay Crabtree, Paul Sorvino, Bob Braswell, Chase Coleman, Jim Ford, Bruce Davison, Tiffany Kiely, Alexis French, Philip R. Garrett, Amber Mikesell, Ralph Scott",4.2,$ 7190000,,,,,,,,
3920,Impulse Black,Impulse Black,2011,2011-02-03,"Drama, Sci-Fi",52,USA,Blu Lantern Pictures,"Jordon Hodges, Emme Rylan, Robert Miano, Will Brunson, Johnny Lechner, Don Money, Sam Cohen, Megan Weaver, Ayman Samman, Tim Hodges, Jackson Money, Sean Owens, Brittany Risner, Jason Sutton",6.1,,,,,,,,,
3921,Mio Dio 2,Eyyvah Eyvah 2,2011,2011-01-07,Comedy,106,Turkey,BKM Film,"Demet Akbag, Ata Demirer, Özge Borak, Salih Kalyon, Tanju Tuncel, Tarik Ünlüoglu, Meray Ülgen, Selcuk Uluergüven, Sener Kökkaya, Bican Günalan, Caner Alkaya, Teoman Kumbaracibasi, Murat Serezli, Sehsuvar Aktas, Hande Dane",6.6,,,$ 24792348,,,,,,
3922,Jacob,Jacob,2011,2011-09-30,Horror,92,USA,Javelina 98 Productions,"Grace Powell, Dylan Horne, Travis Hester, Shane Stewart, Dustin Lane, James Hampton, Karen Schlag, Larry Wade Carrell, Christine, Sandy Ray, Leo D. Wheeler, Krystn Caldwell, Ash Torrellas, Deke Garner, Michael Biehn",3.9,$ 900000,,,,,,,,Jacob
3923,Khurafat: Perjanjian Syaitan,Khurafat: Perjanjian Syaitan,2011,2011-01-13,Horror,80,Malaysia,Primeworks Studios,"Syamsul Yusof, Liyana Jasmay, Sabrina Ali, Along Eyzendy, Nurhuda Mohd Ali, Latif Borgiba, A. Galak, Shah Iskandar, Nur Huda Ismail, Mariani, Fauziah Nawi, Ruzaidi Abdul Rahman, Salina Saibi",5.9,,,,,,,,,
3924,The Worst Movie Ever!,The Worst Movie Ever!,2011,2011-07-08,"Action, Comedy, Musical",76,USA,Driving With Our Eyes Shut,"Glenn Berggoetz, Eileen Barker, Stuart Goldstein, Haidyn Harvey, Bryce Foster, Christopher Irvin, Christine Mascolo, Kasha Fauscett, Jeff Johnson, Jonathan Jorgensen, Carla Cannalte, Giovanna Leah, Jeff McBride, Diane Henry",4.0,$ 1100,$ 25206,$ 25206,,,,,,
3925,Der Sandmann,Der Sandmann,2011,2011-07-21,"Comedy, Drama, Fantasy",88,Switzerland,Spotlight Media Production AG,"Fabian Krüger, Irene Brügger, Beat Schlatter, Florine Elena Deplazes, Kaspar Weiss, Siegfried Terpoorten, Michel Gammenthaler, Urs Jucker, This Moser, Max Rüdlinger",6.8,,,$ 387995,,,,,,
3926,The Lady - L'amore per la libertà,The Lady,2011,2012-03-23,"Biography, Drama, History",132,"France, UK, Thailand",EuropaCorp,"Markus Waldow, Michelle Yeoh, David Thewlis, Jonathan Raggett, Jonathan Woodhouse, Susan Wooldridge, Benedict Wong, Htun Lin, Agga Poechit, Donatienne Dupont, Phoe Zaw, Marian Yu, May, Ko Ko Win Aung, Thein Win",7.1,,$ 355391,$ 7832142,43.0,R,,,,
3927,Rubbeldiekatz,Rubbeldiekatz,2011,2011-12-15,Comedy,108,Germany,Film1,"Alexandra Maria Lara, Jenny Moore, Dejan Bucin, Gerd Pape, Joachim Pollax, Franko Melisch, Guido Maria Kretschmer, Denis Moschitto, Maximilian Brückner, Sunnyi Melles, Matthias Schweighöfer, Tobias Mauer, Guido Saremba, Inge Timm, Detlev Buck",5.7,EUR 5000000,,$ 19302752,,,,,,
3928,Den som dræber - Fortidens skygge,Den som dræber - Fortidens skygge,2011,2012-03-15,"Crime, Drama, Thriller",90,Denmark,Miso Film,"Laura Bach, Jakob Cedergren, Lars Mikkelsen, Simon Kvamm, Lars Ranthe, Lærke Winther, Frederik Meldal Nørgaard, Iben Dorner, Benjamin Brüel, Petrine Agger, Tine Miehe-Renard, Thomas Baldus, Signe Skov, Malin Elisabeth Rømer Brolin-Tani, Peter Pilegaard",6.5,,,,,,,,,
3929,Tikhaya zastava,Tikhaya zastava,2011,2011-01-20,"Drama, War",90,Russia,Mosfilm,"Andrey Chadov, Sergey Selin, Igor Savochkin, Aleksandr Alyoshkin, Yuri Konovalov, Anusher Bachonayev, Maksim Dimkovich, Timur Efremenkov, Radzhab Khuseynov, Nina Kornienko, Kirill Mugayskikh, Sharif Muslimshoyev, Mikhail Negin, Azamat Nigmanov, Ia Ninidze",6.8,,,$ 219698,,,,,,
3930,Lost Christmas,Lost Christmas,2011,2011-12-11,Drama,89,UK,Impact Film & TV,"Eddie Izzard, Larry Mills, Jason Flemyng, Geoffrey Palmer, Sorcha Cusack, Steven Mackintosh, Christine Bottomley, Connie Hyde, Brett Fancy, Adlyn Ross, Chloe Newsome, Jason Watkins, Jessie Clayton, Libbi Rubens, Helen Rutter",7.1,GBP 1200000,,,,,,,,
3931,Mía,Mía,2011,2011-11-10,Drama,106,Argentina,Instituto Nacional de Cine y Artes Audiovisuales (INCAA),"Rodrigo De la Serna, Maite Lanata, Camila Sosa Villada",6.9,,,$ 24528,,,,,,
3932,Potseluy skvoz stenu,Potseluy skvoz stenu,2011,2011-01-25,"Comedy, Drama",90,Russia,,"Aleksandr Adabashyan, Karina Andolenko, Sergey Bachurskiy, Sergey Gazarov, Svetlana Nemolyaeva, Ivan Okhlobystin, Soso Pavliashvili, Aleksandra Reshchikova, Anton Shagin, Mikhail Tarabukin, Olga Tumaykina, Pavel Volya",3.6,,,$ 1956616,,,,,,
3933,Humdinger,Humdinger,2011,2011-12-22,"Comedy, Drama",96,USA,Skitch TV,"David Moscow, Bree Michael Warner, Michael Kaves, Vinny Vella, Howard Feller, Joseph D'Onofrio, George Katt, Chris Kerson, Joseph Rigano, Constance Boardman, Franklin Ojeda Smith, Bobby Guarino, Clark Jackson, Swati Kapila, Jacqueline Pennewill",7.7,$ 100000,,,,,,,,
3934,Milion dolarów,Milion dolarów,2011,2011-05-13,"Comedy, Drama",107,Poland,HBO Polska,"Kinga Preis, Tomasz Karolak, Joanna Kulig, Jakub Gierszal, Hanna Konarowska, Rafal Mohr, Barbara Krafftówna, Andrzej Grabowski, Jirí Pomeje, Jack Recknitz, Krzysztof Materna, Wiktor Zborowski, Joanna Kurowska, Agnieszka Sienkiewicz, Krystyna Rutkowska-Ulewicz",4.1,,,$ 141399,,,,,,
3935,72. Kogus,72. Kogus,2011,2011-03-04,Drama,97,Turkey,Sasin Film,"Hülya Avsar, Yavuz Bingöl, Songül Öden, Kerem Alisik, Civan Canova, Devrim Saltoglu, Nursel Köse, Bülent Sakrak, Ömer Duran, Volga Sorgu, Burcu Salihoglu, Ayça Damgaci, Osman Albayrak, Deniz Oral, Ahmet Fuat Onan",5.8,$ 2000000,,$ 1311277,,,,,,
3936,Ask Tesadüfleri Sever,Ask Tesadüfleri Sever,2011,2011-02-04,"Drama, Romance",118,Turkey,Bocek Yapim,"Mehmet Günsür, Belçim Bilgin, Altan Erkekli, Ayda Aksel, Sebnem Sönmez, Hüseyin Avni Danyal, Berna Konur, Umit Dincer, Zafer Demircan, Hakan Çimenser, Batuhan Karacakaya, Pinar Çaglayan, Asena Keskinci, Berkant Keskin, Yigit Özsener",7.3,,,$ 13585314,,,,,,
3937,Baby sa jakies inne,Baby sa jakies inne,2011,2011-10-14,Comedy,90,Poland,"Zespól Filmowy ""Kadr""","Adam Woronowicz, Robert Wieckiewicz, Malgorzata Bogdanska, Michal Koterski, Patrycja Marciniak, Maciej Musial, Winicjusz Rzymyszkiewicz, Joanna Aleksandrowicz, Iwona Banasiak, Maja Baum, Magdalena Berlinska, Martyna Buksinska, Patrycja Chodorowska, Anna Dziewulska, Agata Gawronska-Bauman",5.9,,,$ 4883118,,,,,,
3938,Che bella giornata,Che bella giornata,2011,2011-01-05,Comedy,97,Italy,Medusa Film,"Checco Zalone, Nabiha Akkari, Ivano Marescotti, Michele Alhaique, Luigi Luciano, Rita del Piano, Anna Bellato, Mehdi Mahdloo, Cinzia Mascoli, Paolo De Vita, Bruno Armando, Rocco Papaleo, Tullio Solenghi, Isabelle Adriani, Matteo Reza Azchirvani",6.3,EUR 6000000,,$ 60756040,,,,,,
3939,Black Thursday,Czarny czwartek. Janek Wisniewski padl,2011,2011-02-25,"Drama, History",105,Poland,,"Piotr Andruszkiewicz, Justyna Bartoszewicz, Magdalena Bochan, Ryszard Brozek, Mateusz Brzezinski, Maciej Brzoska, Beata Buczek-Zarnecka, Janusz Chlebowski, Daniel Chryc, Piotr Chys, Witold Debicki, Andrzej Debski, Mateusz Deskiewicz, Lukasz Dobosz, Grzegorz Duda",6.6,,,$ 3204531,,,,,,
3940,Documenting the Grey Man,Documenting the Grey Man,2011,2011-01-31,Horror,73,USA,Reserve Productions,"Patrick Hussion, Kelly Coulter, Jillian Walzer, Wayne Capps, William Covington, Lisa Morelli, Richard L. Fister, Payton Morelli, Shawn Pollard, Ivan Hayward, Larry Perewiznyk, Bryan Blankenship, Chelsea Atkins, Lauren Jill",2.4,$ 32000,,,,,,,,
3941,Incir Reçeli,Incir Reçeli,2011,2011-02-11,"Drama, Romance",94,Turkey,AA Film Prodüksiyon,"Sezai Paracikoglu, Melike Güner, Sinan Çaliskanoglu, Barbara Lourens, Mehmet Selim Akgul, Mustafa Uzunyilmaz, Batur Belirdi, Nevin Efe, Hasan Yalnizoglu, Serkan Duran, Erol Agirlar, Yalçin Seref Agirlar, Alp Aslan Ataman, Asim Ertürk, Begüm Meriç",6.5,,,$ 1066192,,,,,,
3942,Jak sie pozbyc cellulitu,Jak sie pozbyc cellulitu,2011,2011-02-04,Comedy,106,Poland,San Graal,"Magdalena Boczarska, Dominika Kluzniak, Maja Hirsch, Tomasz Kot, Wojciech Mecwaldowski, Cezary Kosinski, Rafal Rutkowski, Aleksandra Poplawska, Grzegorz Malecki, Ewelina Paszke, Ewa Konstancja Bulhak, Magdalena Laska, Miroslawa Olbinska, Ewa Biala, Patricia Kazadi",4.1,,,$ 2428521,,,,,,
3943,Kaybedenler Kulübü,Kaybedenler Kulübü,2011,2011-03-25,"Comedy, Drama, Romance",105,Turkey,Ekip Film,"Nejat Isler, Yigit Özsener, Ahu Türkpençe, Idil Firat, Riza Kocaoglu, Serra Yilmaz, Cengiz Bozkurt, Baris Bagci, Safak Baskaya, Erdal Küçükkömürcü, Sirin Kilavuz Sevinç, Giray Altinok, Açelya Özcan, Onur Ünsal, Kubilay Tok",7.6,,,$ 2692857,,,,,,
3944,Los numeros,Los numeros,2011,2011-03-25,"Comedy, Crime",82,Poland,TVN,"Leslaw Zurek, Justyna Schneider, Tamara Arciuch, Weronika Ksiazkiewicz, Marek Wlodarczyk, Antoni Pawlicki, Joanna Kulig, Krzysztof Czeczot, Jadwiga Basinska, Artur Dziurman, Pawel Tomaszewski, Kamil Póltorak, Piotr Borowski, Tomasz Ignaczak, Pawel Kleszcz",3.7,,,$ 1283764,,,,,,
3945,La chispa de la vida,La chispa de la vida,2011,2012-01-13,Drama,94,"Spain, France, USA",Alfresco Enterprises,"José Mota, Salma Hayek, Blanca Portillo, Juan Luis Galiardo, Fernando Tejero, Manuel Tallafé, Antonio Garrido, Carolina Bang, Eduardo Casanova, Nerea Camacho, Joaquín Climent, Juanjo Puigcorbé, Antonio de la Torre, José Manuel Cervino, Santiago Segura",6.1,,,$ 1340269,32.0,,,,,
3946,Nevinnost,Nevinnost,2011,2011-01-20,"Drama, Thriller",90,Czech Republic,In Film Praha,"Anna Geislerová, Ondrej Vetchý, Hynek Cermák, Zita Morávková, Anna Linhartová, Ludek Munzar, Miroslav Hanus, Daniel Czeizel, Alena Mihulová, Rebeka Lízlerová, Vera Hlavácková, Jirí Sesták",6.9,,,$ 1102022,,,,,,
3947,"Och, Karol 2","Och, Karol 2",2011,2011-01-21,Comedy,105,Poland,MTL Maxfilm,"Piotr Adamczyk, Malgorzata Socha, Marta Zmuda Trzebiatowska, Katarzyna Zielinska, Malgorzata Foremniak, Katarzyna Glinka, Anna Mucha, Jan Frycz, Krzysztof Stelmaszyk, Emilia Komarnicka, Andrzej Zielinski, Grzegorz Malecki, Rafal Rutkowski, Tamara Arciuch, Marek Barbasiewicz",4.3,,,$ 10455379,,,,,,
3948,The Ideal,The Ideal,2011,2011,"Fantasy, Horror, Thriller",96,USA,Millions of Pixels,"Dennis Brito, Kristen Brancaccio, Ivan Perez, John Dean, Thomas Scott Roberts, Robert Sherbine, Todd Murphy, Kanika Jones, Jack Florczak, Steve Louis, Robert Kopil, Teresa Lasser, Rich W. Rodda, Venessa Faraclas, Frank Osmers",2.3,$ 1000000,,,,,,,,
3949,Sakli Hayatlar,Sakli Hayatlar,2011,2011-03-11,Drama,98,Turkey,,"Ceren Hindistan, Yusuf Akgün, Laçin Ceylan, Zerrin Sümer, Ahmet Mümtaz Taylan, Irmak Öztürk, Müfide Inselel, Olgun Toker, Deniz Arna, Cemal Gönen, Korhan Herduran, Cem Yildiz, Emre Tastekin, Murat Aydin, Haci Çamurcu",6.5,,,$ 385512,,,,,,
3950,Sala samobójców,Sala samobójców,2011,2011-03-04,"Animation, Drama, Thriller",110,Poland,Mediabrigade,"Jakub Gierszal, Roma Gasiorowska, Agata Kulesza, Krzysztof Pieczynski, Bartosz Gelner, Danuta Borsuk, Piotr Nowak, Filip Bobek, Krzysztof Dracz, Aleksandra Hamkalo, Kinga Preis, Piotr Glowacki, Anna Ilczuk, Bartosz Porczyk, Wieslaw Komasa",6.6,PLN 6000000,,$ 4878284,,,,,,
3951,Skew,Skew,2011,2011-10-01,"Horror, Thriller",83,Canada,Sleep Apnea Productions Inc.,"Rob Scattergood, Amber Lewis, Richard Olak, Taneal Cutting, David MacAulay, Chadderton W. Thornton, James Mark, Leanne Marsel, Ken MacKenzie, Simon C. Hussey, Simon Lacey, Kate Gajdosik",4.4,,,,,,,,,
3952,The Stig-Helmer Story,The Stig-Helmer Story,2011,2011-12-25,"Comedy, Drama",100,"Sweden, USA",Viking Entertainment,"Lasse Åberg, Jon Skolmen, Ida Högberg, Tobias Jacobsson, Tove Edfeldt, Bill Hugg, Filip Arsic-Johnsson, Jonas Bane, Nils Rodner, Andreas Nilsson, Elisabet Carlsson, Stefan Sauk, Cecilia Ljung, Lasse Haldenberg, Claes Månsson",4.4,,,$ 5275505,,,,,,
3953,Uwiklanie,Uwiklanie,2011,2011-06-03,Crime,123,Poland,Studio Filmowe Zebra,"Maja Ostaszewska, Marek Bukowski, Danuta Stenka, Andrzej Seweryn, Olgierd Lukaszewicz, Piotr Adamczyk, Krzysztof Pieczynski, Krzysztof Stroinski, Adam Woronowicz, Malgorzata Buczkowska, Dorota Pomykala, Malgorzata Zajaczkowska, Maciej Wierzbicki, Krzysztof Globisz, Jerzy Gralek",6.0,,,$ 798896,,,,,,
3954,Wasted Youth,Wasted Youth,2011,2011-03-17,Drama,122,Greece,Oxymoron Films,"Haris Markou, Ieronymos Kaletsanos, Arthouros Kiviliov, Jason Wastor, Syllas Tzoumerkas, Maria Kyrozi, Maria Skoula, Marisha Triantafyllidou, Yannis Tsortekis, Yannis Economides, Themis Bazaka, Tania Savopoulou, Mihalis Alexakis, Eva Halkiadaki, Michalis Laios",5.7,,,,,,,,,
3955,Wojna zensko-meska,Wojna zensko-meska,2011,2011-02-25,Comedy,105,Poland,Monolith Films,"Sonia Bohosiewicz, Maja Bohosiewicz, Jan Aleksandrowicz, Michal Aniol, Tamara Arciuch, Konrad Bugaj, Zofia Czerwinska, Mariusz Drezek, Monika Fronczek, Katarzyna Galica, Rafal Gerlach, Krzysztof Ibisz, Krzysztof Janczar, Elzbieta Jarosik, Arki Jones",2.7,,,$ 1988982,,,,,,
3956,Ya Sonra?,Ya Sonra?,2011,2011-02-25,"Comedy, Drama, Romance",105,Turkey,Demtas Film,"Özcan Deniz, Deniz Çakir, Baris Falay, Ragip Savas, Erdem Akakçe, Janset, Mehmet Aslan, Aliye Uzunatagan, Ismail Düvenci, Cezmi Baskin, Asli Bankoglu, Naz Elmas, Aysen Gruda, Atakan Ilgazdag, Fatma Toptas",5.1,$ 5000000,,$ 4686857,,,,,,
3957,Arme Riddere,Arme Riddere,2011,2011-12-02,"Action, Comedy, Crime",86,Norway,Det Danske Filminstitut,"Kyrre Hellum, Mads Ousdal, Henrik Mestad, Arthur Berning, Andreas Cappelen, Lena Kristin Ellingsen, Fridtjov Såheim, Peter Andersson, Jan Grønli, Marie Blokhus, Anne Marie Ottersen, Fredrik Petersson, Isidor Alcaide Backlund, Laban Eliasson, Margaretha Noole",6.6,,$ 806,$ 1078584,43.0,,,,,
3958,Gekijouban Bureiku bureido Daigoshou: Shisen no hate,Gekijouban Bureiku bureido Daigoshou: Shisen no hate,2011,2011-01-22,"Animation, Action, Fantasy",47,Japan,Production I.G.,"Sôichirô Hoshi, Chiwa Saitô, Masashi Sugawara, Kazuya Nakai, Kana Hanazawa, Yûichi Nakamura, Kôsuke Toriumi, Marina Inoue, Minoru Shiraishi, Kazuyoshi Hayashi, Takuma Terashima, Eri Kitamura, Tomoya Kawai, Ryôko Shiraishi, Nanaho Katsuragi",7.3,,,,,,,,,
3959,Ecstasy,Ecstasy,2011,2012-04-20,"Drama, Romance",99,Canada,Ecstasy Film Production Services,"Adam Sinclair, Kristin Kreuk, Billy Boyd, Carlo Rota, Keram Malicki-Sánchez, Natalie Brown, Olivia Andrup, Stephen McHattie, Dean McDermott, Colin Mochrie, Alex Lifeson, Shaun Austin-Olsen, Shawn Storer, Luke Gordon, Stefen Hayes",5.1,CAD 5000000,,$ 97563,,NR,,,,
