,title,original_title,year,date_published,genre,duration,country,production_company,actors,avg_vote,budget,usa_gross_income,worlwide_gross_income,metascore,content_rating,oscar_name,oscar_category,oscar_winner,book
274,Il sentiero,Na putu,2010,2012-01-27,Drama,100,"Bosnia and Herzegovina, Austria, Germany, Croatia",Deblokada,"Zrinka Cvitesic, Leon Lucev, Ermin Bravo, Mirjana Karanovic, Marija Kohn, Nina Violic, Sebastian Cavazza, Jasna Beri, Izudin Bajrovic, Jasna Zalica, Luna Zimic Mijovic, Vanessa Glodjo, Alban Ukaj, Faik Mesic, Mirvad Kuric",6.9,,,$ 299911,,,,,,
275,Order of Chaos,Order of Chaos,2010,2010-02-12,Thriller,90,USA,Ten/Four Pictures,"Rhys Coiro, Milo Ventimiglia, Samantha Mathis, Mimi Rogers, Susan Ward, Maggie Kiley, Anna Campbell, Chip Joslin, Krystal Nieves, Ryan Daniel Dobson, Anna Khaja, Yvonne Truong, Karen Austin, Joe Fiske, Brian Hatton",4.7,$ 1000000,,,,,,,,
276,Una hora más en Canarias,Una hora más en Canarias,2010,2010-07-16,"Comedy, Musical",96,"Spain, Colombia",Telespan 2000,"Quim Gutiérrez, Angie Cepeda, Juana Acosta, Eduardo Blanco, Miren Ibarguren, Kiti Mánver, Diego Martín, Isabel Ordaz, Samuel Lee Guevara, Sergio Cabrera, Natalie Pinot, Clara del Rosario Gutiérrez, Enrique Fajardo, Carlos Pedrós, Paco Sotelo",4.8,,,$ 1059788,,,,,,
277,Biutiful,Biutiful,2010,2011-02-04,"Drama, Romance",148,"Mexico, Spain",Menageatroz,"Javier Bardem, Maricel Álvarez, Hanaa Bouchaib, Guillermo Estrella, Eduard Fernández, Cheikh Ndiaye, Diaryatou Daff, Taishen Cheng, Jin Luo, George Chibuikwem Chukwuma, Lang Sofia Lin, Yodian Yang, Tuo Lin, Xueheng Chen, Xiaoyan Zhang",7.5,,$ 5101237,$ 25147786,58.0,R,Javier Bardem,ACTOR IN A LEADING ROLE,False,
278,Biutiful,Biutiful,2010,2011-02-04,"Drama, Romance",148,"Mexico, Spain",Menageatroz,"Javier Bardem, Maricel Álvarez, Hanaa Bouchaib, Guillermo Estrella, Eduard Fernández, Cheikh Ndiaye, Diaryatou Daff, Taishen Cheng, Jin Luo, George Chibuikwem Chukwuma, Lang Sofia Lin, Yodian Yang, Tuo Lin, Xueheng Chen, Xiaoyan Zhang",7.5,,$ 5101237,$ 25147786,58.0,R,Mexico,FOREIGN LANGUAGE FILM,False,
279,L'immortale,L'immortel,2010,2010-11-05,"Action, Crime, Drama",117,France,EuropaCorp,"Jean Reno, Kad Merad, Jean-Pierre Darroussin, Marina Foïs, JoeyStarr, Richard Berry, Venantino Venantini, Claude Gensac, Joséphine Berry, Max Baissette de Malglaive, Catherine Samie, Moussa Maaskri, Lucie Phan, Fani Kolarova, Jessica Forde",6.7,EUR 18000000,,$ 21695883,,,,,,
280,Sint,Sint,2010,2010-11-11,"Comedy, Horror",85,Netherlands,TDMP,"Egbert Jan Weeber, Bert Luppes, Caro Lenssen, Huub Stapel, Escha Tanihatu, Jim Deddes, Joey van der Velden, Jaap Spijkers, Ben Ramakers, Kees Boot, Bob Schwarze, Lien Van de Kelder, Julian Maas, Barbara Sarafian, Niels van den Berg",5.5,,,$ 3797890,,,,,,
281,Boston Girls,Boston Girls,2010,2010,"Comedy, Horror, Thriller",90,USA,Saphire Enterprises,"Camille Solari, Shay Astar, Jon Saphire, Robert Miano, Jonathan Doone, Renée Taylor, Danny Trejo, Damien Di Paola, Joy Somers, Nic Novicki, Jim Cullity, Moksha McPherrin, Adamo Palladino, Brian Petrucelli, Jeannie Roshar",2.2,$ 1200000,,,,,,,,
282,The Company Men,The Company Men,2010,2011-02-11,Drama,104,USA,The Weinstein Company,"Ben Affleck, Tommy Lee Jones, Chris Cooper, Suzanne Rico, Kent Shocknek, Adrianne Krstansky, Lewis D. Wheeler, Celeste Oliva, Tom Kemp, Nancy Villone, Chris Everett, Maria Bello, Lance Greene, Kathy Harum, Allyn Burrows",6.7,$ 15000000,$ 4441272,$ 8087000,69.0,R,,,,
283,The Bang Bang Club,The Bang Bang Club,2010,2011-07-22,"Biography, Drama, History",106,"Canada, South Africa",Foundry Films,"Ryan Phillippe, Malin Akerman, Taylor Kitsch, Neels van Jaarsveld, Frank Rautenbach, Nina Milner, Jessica Haines, Lika Berning, Kgosi Mongake, Russel Savadier, Patrick Shai, Alfred Kumalo, Craig Palm, Nick Boraine, Patrick Lyster",7.0,,,$ 221292,48.0,R,,,,
