,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company_x,avg_vote,budget,worldwide_gross_income,metascore,content_rating,actors_y
810,Cut Bank,Cut Bank,2014,2015.4.3,"Crime, Drama, Thriller",93,USA,English,Matt Shakman,Roberto Patino,Kilburn Media,6.1,"$5,000,000 ","$288,591 ",44,R,"Liam Hemsworth, Billy Bob Thornton, Bruce Dern, John Malkovich, Teresa Palmer, Michael Stuhlbarg, Oliver Platt, Ty Olsson, Sonya Salomaa, Peyton Kennedy, Christian Distefano, King Lau, Chilton Crane, Tom Carey, Aiden Longworth, Mikaela Cochrane, Graem Beddoes, David Burke, Victor Atelevich, John Paul Shellnut, Chris Krueger, Mandie Vredegoor, Donovan Workun, Marie Zydek, Kris Loranger, Emily Siobhan McCourt"
811,Nothing Left to Fear,Nothing Left to Fear,2013,2013.9.26,Horror,100,USA,English,Anthony Leonardi III,Jonathan W.C. Mills,Anchor Bay Films,4.4,"$3,000,000 ","$1,675,381 ",12,R,"Anne Heche, James Tupper, Ethan Peck, Jennifer Stone, Clancy Brown, Rebekah Brandes"
812,Fun Size,Fun Size,2012,2012.10.26,"Adventure, Comedy",86,USA,English,Josh Schwartz,Max Werner,Paramount Pictures,5.4,"$14,000,000 ","$11,417,362 ",37,PG-13,
813,The Chaperone - In gita per caso,The Chaperone,2011,2011.3.24,"Action, Comedy, Family",103,USA,English,Stephen Herek,S.J. Roth,Snowfall Films,5,"$3,000,000 ","$279,147 ",33,PG-13,"Parker Posey, Ariel Winter, Kevin Corrigan, Nick Gomez, Annabeth Gish, Enrico Colantoni, Edrick Brownie, James DuMont, Bruce Dern, Yeardley Smith, Triple H, J.D. Evermore, José Zúñiga, Kevin Rankin, Michael Rapaport, Triple H"
815,Revenant - Redivivo,The Revenant,2015,2016.1.16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan","English, Pawnee, French",Alejandro G. I챰찼rritu,"Mark L. Smith, Alejandro G. I챰찼rritu",Regency Enterprises,8,"$135,000,000 ","$532,950,503 ",76,R,"Leonardo DiCaprio, Tom Hardy, Domhnall Gleeson, Will Poulter, Forrest Goodluck, Paul Anderson, Lukas Haas, Melaw Nakehk'o, Brad Carter, Brendan Fletcher, Kristoffer Joner, Grace Dove Syme, Kory Grim, Dave Burchill, Robert Moloney, Christopher Rosamund, Vincent Leclerc, Joshua Burge, Christopher Rosamond, Chris Ippolito, Mark Krysko, McCaleb Burnett, Duane Howard, Fabrice Adde, Arthur Redcloud, Tyson Wood, Stephane Legault, Amelia Crow Shoe, Emmanuel Bilodeau, Peter Strand Rumple, Cole Vandale, Tom Guiry, Scott Olynek, Timothy Lyle, Jamie Medicine Crane, Veronica Marlowe, Chesley Wilson, Clarence Hoof, Adrian McMorran, Alexandre Bisping, Dion Little Child, C. Adam Leigh, Blake Wildcat, Javiar Lopez, Paul Young Pine, Cody Big Tobacco, Haysam Kadri, Dallas Young Pine, Anthony Starlight, Michael Fraser, Scott Duncan, Mariah Old Shoes, Isaiah Tootoosis, Jeffrey Olynek, Kevin Corey, Daniel Rampanen, Jordan Crawford, Gerald Anderson, Julia Montes, Edu Manzano, Ina Raymundo, Boboy Garovillo, Yayo Aguila, Jett Pangan, Melissa Mendez"
817,Martyrs,Martyrs,2015,2016.1.22,"Drama, Horror, Thriller",86,USA,English,"Kevin Goetz, Michael Goetz","Pascal Laugier, Mark L. Smith",Blumhouse Productions,4,"$1,000,000 ","$397,072 ",22,R,"Morjane Alaoui, Morjana Alaoui, Mylène Jampanoï, Catherine Bégin, Robert Toupin, Patricia Tulasne, Juliette Gosselin, Xavier Dolan, Isabelle Chasse, Emilie Miskdjian, Mike Chute, Gaelle Cohen, Anie Pascale, Jessie Pham, Erika Scott, Louise Boisvert, Hervé Desbois, Jean-Marie Moncelet, Louis Thevenon, Tony Robinow"
818,Pacific Rim,Pacific Rim,2013,2013.7.11,"Action, Adventure, Sci-Fi",131,USA,"English, Japanese, Cantonese, Mandarin",Guillermo del Toro,"Travis Beacham, Guillermo del Toro",Warner Bros.,6.9,"$190,000,000 ","$411,002,906 ",65,PG-13,"Charlie Hunnam, Idris Elba, Rinko Kikuchi, Diego Klattenhoff, Charlie Day, Burn Gorman, Max Martini, Robert Kazinsky, Clifton Collins Jr., Ron Perlman, Brad William Henke, Larry Joe Campbell, Mana Ashida, Santiago Segura, Joe Pingue, Milton Barnes, Brian Frank, Ellen McLain, David Fox, Jake Goodman, Robin Thomas, Julian Barnes, David Richmond-Peck, Charles Luu, Lance Lu, Mark Luu, Robert Maillet, Heather Doerksen, Joshua Peace, Sebastian Pigott, Victoria Marie, Roger Wong, J.C. Kenny, Jane Watson, Robert Morse, Paul Wyers, Tyler Stevenson, Mike Chute, Duncan McLeod, Louis Paquette, Matthew G. Taylor, Terry Belleville, Frank T. Nakashima, Farzad Sadrian, Mishu Vellani, Clive Walton, Peter Kosaka, Yiren Stark, Hubert Tran, Trek Buccino, Drew Adkins, Kelvin Lum, Soo David Chum Ling, Randy Lee, Jung Yul Kim, Kaelyn Wong"
819,All Eyez on Me,All Eyez on Me,2017,2017.9.7,"Biography, Drama, Music",139,USA,English,Benny Boom,"Jeremy Haft, Eddie Gonzalez",Summit Entertainment,5.8,"$40,000,000 ","$55,668,698 ",38,R,"Demetrius Shipp Jr., Kat Graham, Lauren Cohan, Hill Harper, Jamal Woolard, Danai Gurira, Annie Ilonzeh, Dominic L. Santana"
820,Mordimi,Vampires Suck,2010,2010.9.17,Comedy,82,USA,"English, German","Jason Friedberg, Aaron Seltzer","Jason Friedberg, Aaron Seltzer",Regency Enterprises,3.4,"$20,000,000 ","$80,547,866 ",18,PG-13,"Matt Lanter, Chris Riggi, Ken Jeong, Jenn Proske, Diedrich Bader, Michael Mayhall, Bradley Dodds, B.J. Britt, Anneliese van der Pol, Crista Flanagan, Mike Mayhall, Rett Terrell, Stephanie Fischer, Zane Holtz, Jeff Witzke, Michael Hanson, Kelsey Ford, Jun Hee Lee, Krystal Mayo"
822,Legami di sangue,Deadfall,2012,2012.11.9,"Crime, Drama, Thriller",95,"France, USA",English,Stefan Ruzowitzky,Zach Dean,Magnolia Pictures,6.3,"$12,000,000 ","$1,946,254 ",52,R,"Eric Bana, Olivia Wilde, Charlie Hunnam, Kris Kristofferson, Sissy Spacek, Kate Mara, Treat Williams"
823,Biancaneve,Mirror Mirror,2012,2012.4.4,"Adventure, Comedy, Drama",106,"USA, Canada",English,Tarsem Singh,"Marc Klein, Jason Keller",Relativity Media,5.6,"$85,000,000 ","$183,018,522 ",46,PG,"Julia Roberts, Lily Collins, Armie Hammer, Sean Bean, Nathan Lane, Robert Emms, Mare Winningham, Michael Lerner, Jordan Prentice, Mark Povinelli, Joey Gnoffo, Danny Woodburn, Sebastian Saraceno, Ronald Lee Clark, Martin Klebba, Bonnie Bentley, Arthur Holden, Kwasi Songui, Eric Davis, Kathleen Fee, Nadia Verrucci, Adam Butcher, Dawn Ford, Alex Ivanovici, Richard Jutras, Melodie Simard, Kimberly-Sue Murray, Andre Lanthier, Lisa Noto, William Calvert, Nicholas Guest, Frank Welker"
825,L'era glaciale 4 - Continenti alla deriva,Ice Age: Continental Drift,2012,2012.9.28,"Animation, Adventure, Comedy",88,USA,English,"Steve Martino, Mike Thurmeier","Michael Berg, Jason Fuchs",Blue Sky Studios,6.6,"$95,000,000 ","$877,244,782 ",49,PG,"Ray Romano, John Leguizamo, Denis Leary, Queen Latifah, Seann William Scott, Josh Peck, Jennifer Lopez, Jeremy Renner, Wanda Sykes, Keke Palmer, Aziz Ansari, Drake, Heather Morris, Joy Behar, Nicki Minaj, Josh Gad, Alan Tudyk, Nick Frost, Kunal Nayyar, Alain Chabat, Christopher J. Campbell, Michael Dean Ester, Peter Dinklage, Karen Disher, Jason Fricchione, Ben Gleib, George Jacobs, James Palumbo, Simon Pegg, Alexandra Romano, Matthew Simmons, Eddie ""Piolin"" Sotelo, Patrick Stewart, Meghan Thurmeier, Chris Wedge, Rebel Wilson"
826,Now You See Me - I maghi del crimine,Now You See Me,2013,2013.7.11,"Crime, Mystery, Thriller",115,"USA, France","English, French",Louis Leterrier,"Ed Solomon, Boaz Yakin",Summit Entertainment,7.3,"$75,000,000 ","$351,723,989 ",50,PG-13,"Jesse Eisenberg, Dave Franco, Morgan Freeman, Mark Ruffalo, Woody Harrelson, Isla Fisher, Michael Caine, Michael Kelly, Mélanie Laurent, Common, David Warshofsky, Caitriona Balfe, Stephanie Honoré, Stanley Wong, Laura Cayouette, Douglas M. Griffin, Adam Shapiro, J LaRose, Justine Wachsberger, Christian Gazio, Benoit Cransac, Conan O'Brien, Samantha Beaulieu, Odessa Sykes, Shannon Maris, Nicki Daniels, Wendy Miklovic, Brad Abrell, Randi Rousseau, Hunter Burke, Brian Tucker, Teddy Canez, Joe Chrest, Kerry Cahill, Diego Miro, Adella Gauthier, Han Soto, Jaren Mitchell, Scott Shilstone, Zac Waggener, Caleb Michaelson, Anthony Molinari, Griff Furst, Katheryn Swann, Kevin Roy, Kenneth Herrington, Andy Ryan, Erik Blake, Tarek Isham, Alynda Mariposa Segarra, Catherine Cavazos, Cathrine Cavazos, Sam Doores, Catherine Poon, Michael Hartson, Jessica C. Lindsey"
828,Entourage,Entourage,2015,2015.7.15,Comedy,104,USA,English,Doug Ellin,"Doug Ellin, Doug Ellin",Warner Bros.,6.6,"$30,000,000 ","$49,263,404 ",38,R,"Jeremy Piven, Adrian Grenier, Kevin Dillon, Jerry Ferrara, Kevin Connolly, Debi Mazar, Billy Bob Thornton, Emmanuelle Chriqui, Alice Eve, Perrey Reeves, Rex Lee, Rhys Coiro, Constance Zimmer, Haley Joel Osment, Ronda Rousey, Scott ""Kid Cudi"" Mescudi, Alan Dale, Emily Ratajkowski, Nina Agdal, Lucas Ellin, Piers Morgan, Mark Cuban, Sabina Gadecki, Rocky, Thierry Henry, Jennie Kwan, T.I., Tameka Harris, Saigon, Rob Gronkowski, David Arquette, Russell Wilson, Gary Busey, Baron Davis, Bob Saget, Kayla Collins, Bekah Graf, Jim Gray, Clay Matthews, Jon Favreau, Shervin Pishevar, Greg Louganis, Andrew Dice Clay, Christine Donlon, Raquel Alessi, Billy Dec, Mike Tyson, Pharrell Williams, Scott Vener, Liam Neeson, Ed O'Neill, Sonny Marinelli, Kelsey Grammer, Lindsay McGrail, Chad Lowe, Nora Dunn, Mark Wahlberg, Henry Penzi, Bill Grund, David Spade, Warren Buffet, Jessica Alba, Domenico Vacca, Common, Armie Hammer, Meagen Fay, Anna Jaller, Shayna Baszler, Jessamyn Duke, Marina Shafir, David Faustino, Richard Schiff, Tom Brady, Martin Landau, Shay Laren, Brittany Wagner, Michael S. Meldman, Steve Tisch, Dru Mouser, Tim Maculan, Debbie Jaffe, Matt Lauer, Maria Menounos, Terrence Jenkins, Alyssa Miller, George Takei, Michael Hirtenstein, Chad Hurley, Maya Ellin, Jenna Goldman, Kate Goldman, Alan Purwin"
830,Trespass,Trespass,2011,2011.10.21,"Crime, Drama, Thriller",91,"USA, Bulgaria",English,Joel Schumacher,Karl Gajdusek,Millennium Films,5.3,"$35,000,000 ","$10,117,966 ",37,R,"Nicolas Cage, Nicole Kidman, Ben Mendelsohn, Liana Liberato, Cam Gigandet, Jordana Spiro, Dash Mihok, Emily Meade, Nico Tortorella, Brandon Belknap, Terry Milam, Tina Parker, David Maldonado, Nilo Otero, Simona Williams"
831,Take Shelter,Take Shelter,2011,2012.6.29,"Drama, Horror, Thriller",121,USA,English,Jeff Nichols,Jeff Nichols,Hydraulx,7.4,"$5,000,000 ","$3,741,098 ",85,R,"Michael Shannon, Jessica Chastain, Tova Stewart, Shea Whigham, Katy Mixon, Natasha Randall, Ron Kennard, Scott Knisley, Robert Longstreet, Heather Caldwell, Sheila Hullihen, John Kloock, Maryanna Alacchi, Jacque Jovic, Bob Maines, Charles R. Moore, Pete Ferry, Molly McGinnis, Angie Marino-Smith, Isabelle Smith, Tina Stump, Ken Strunk, Maryann Nagel, Hailee Dickens, Kathy Baker, Guy Van Swearingen, Lisa Gay Hamilton, William Alexander, Joanna Tyler, Stuart Greer, Ray McKinnon, Jake Lockwood, Kim Hendrickson, Bart Flynn, Nick Koesters, Jeffrey Grover"
832,Ready Player One,Ready Player One,2018,2018.3.28,"Action, Adventure, Sci-Fi",140,"USA, India",English,Steven Spielberg,"Zak Penn, Ernest Cline",Warner Bros.,7.5,"$175,000,000 ","$582,893,671 ",64,PG-13,"Tye Sheridan, Olivia Cooke, Ben Mendelsohn, Simon Pegg, T.J. Miller, Hannah John-Kamen, Mark Rylance, Lena Waithe"
833,Soldiers of Fortune,Soldiers of Fortune,2012,2012.7.19,"Action, Thriller",94,"Russia, USA",English,Maxim Korostyshevsky,"Alexandre Coscas, Robert Crombie",Globus-film,4.3,"$8,000,000 ","$1,784,286 ",19,R,"Christian Slater, Sean Bean, Ving Rhames, Dominic Monaghan, James Cromwell, Colm Meaney, Charlie Bewley, Gennadiy Vengerov, Freddy Rodriguez, Ryan Donowho, Sarah Ann Schultz, Oksana Korostyshevskaya"
834,Trolls,Trolls,2016,2016.10.27,"Animation, Adventure, Comedy",92,USA,English,"Mike Mitchell, Walt Dohrn","Jonathan Aibel, Glenn Berger",DreamWorks Animation,6.5,"$125,000,000 ","$346,864,462 ",55,PG,"Gwen Stefani, James Corden, Jeffrey Tambor, Ron Funches, Ron Funches, Aino Jawo, Aino Jawo, Caroline Hjelt, Caroline Hjelt, Kunal Nayyar, Quvenzhane Wallis, Walt Dohrn, Rhys Darby, Ricky Dillon, Ricky Dillon, Meg DeAngelis, Meg DeAngelis, Glozell Green, Kandee Johnson, Kandee Johnson, Grace Helbig, Grace Helbig, Curtis Stone, Anna Kendrick, Justin Timberlake, Zooey Deschanel, Christopher Mintz-Plasse, Christine Baranski, Russell Brand, Gwen Stefani, John Cleese"
835,Stoker,Stoker,2013,2013.6.20,"Drama, Mystery, Thriller",99,"UK, USA","English, French, Italian",Chan-wook Park,Wentworth Miller,Fox Searchlight Pictures,6.8,"$12,000,000 ","$12,077,441 ",58,R,"Mia Wasikowska, Matthew Goode, Nicole Kidman, Dermot Mulroney, Thomas Covert, Jacki Weaver, Lucas Till, Alden Ehrenreich, David Alford, Peg Allen, Lauren Roman, Phyllis Somerville, Harmony Korine, Dominick ""Dino"" Howard, Tyler Von Tagen, Jaxon Johnson, Paxton Johnson, Judith Godrèche, Ralph Brown"
836,Welcome to the Punch - Nemici di sangue,Welcome to the Punch,2013,2013.3.15,"Action, Crime, Thriller",99,"UK, USA",English,Eran Creevy,Eran Creevy,Worldview Entertainment,6.1,"$8,500,000 ","$3,926,386 ",49,R,"James McAvoy, Mark Strong (II), Andrea Riseborough, Johnny Harris, Peter Mullan, David Morrissey, Elyes Gabel, Daniel Mays"
837,Wish You Were Here,Wish You Were Here,2012,2012.4.26,"Drama, Mystery",89,Australia,"English, Vietnamese, Khmer",Kieran Darcy-Smith,"Kieran Darcy-Smith, Felicity Price",Aquarius Films,5.9,"$1,961,287 ","$1,547,441 ",60,R,"Joel Edgerton, Teresa Palmer, Felicity Price, Antony Starr"
839,Creature,Creature,2011,2011.9.9,Horror,93,USA,English,Fred Andrews,"Fred Andrews, Tracy Morse",The Bubble Factory,3.6,"$3,000,000 ","$533,235 ",31,R,"Grimley, Amanda Fuller, Serinda Swan, Sid Haig, Mehcad Brooks, Dillon Casey, Lauren Schneider, Aaron Hill, Pruitt Taylor Vince, Daniel Bernhardt"
840,Vampire Academy,Vampire Academy,2014,2014.5.1,"Action, Comedy, Drama",104,"USA, UK",English,Mark Waters,"Richelle Mead, Daniel Waters",Angry Films,5.5,"$30,000,000 ","$15,642,346 ",31,PG-13,"Zoey Deutch, Lucy Fry, Danila Kozlovsky, Gabriel Byrne, Sarah Hyland, Joely Richardson, Cameron Monaghan, Sami Gayle, Ashley Charles, Claire Foy, Dominic Sherwood, Chris Mason Johnson, Ben Peel, Olga Kurylenko, Rolfe Kent"
842,1921 - Il mistero di Rookford,The Awakening,2011,2011.12.2,"Horror, Thriller",102,UK,"English, French",Nick Murphy,"Stephen Volk, Nick Murphy",StudioCanal,6.5,"$4,192,350 ","$6,879,667 ",53,R,"Rebecca Hall, Dominic West, Imelda Staunton, Isaac Hempstead Wright, Shaun Dooley, Joseph Mawle, Sarah Curtis"
844,Cattivissimo me 2,Despicable Me 2,2013,2013.10.10,"Animation, Adventure, Comedy",98,"USA, France, Japan","English, Ukrainian","Pierre Coffin, Chris Renaud","Cinco Paul, Ken Daurio",Universal Pictures,7.3,"$76,000,000 ","$970,766,005 ",62,PG,"Steve Carell, Kristen Wiig, Benjamin Bratt, Miranda Cosgrove, Russell Brand, Ken Jeong, Al Pacino, Steve Coogan, Elsie Fisher, Dana Gaier, Moises Arias, Nasim Pedrad, Kristen Schaal, Pierre Coffin, Chris Renaud, Nickolai Stoilov, Vanessa Bayer"
845,Prima di domani,Before I Fall,2017,2017.7.19,"Drama, Fantasy, Mystery",98,USA,English,Ry Russo-Young,"Maria Maggenti, Lauren Oliver",Awesomeness Films,6.4,"$5,000,000 ","$16,373,843 ",58,PG-13,"Zoey Deutch, Halston Sage, Kian Lawley, Cynthy Wu, Elena Kampouris, Medalion Rahimi, Jennifer Beals, Diego Boneta, Logan Miller"
846,Planes,Planes,2013,2013.11.8,"Animation, Adventure, Comedy",91,USA,"English, Spanish",Klay Hall,"John Lasseter, Klay Hall",Prana Studios,5.7,"$50,000,000 ","$239,258,712 ",39,PG,"Diogo Morgado, Manuel Marques, Dane Cook, Stacy Keach, Brad Garrett, Teri Hatcher, Julia Louis-Dreyfus, Priyanka Chopra, John Cleese, Cedric the Entertainer, Carlos Alazraqui, Roger Craig Smith, Anthony Edwards, Val Kilmer, Sinbad, Gabriel Iglesias, Brent Musberger, Colin Cowherd, Danny Mann, Oliver Kalkofe, John Ratzenberger, Klay Hall"
847,Carnage,Carnage,2011,2011.9.16,"Comedy, Drama",80,"France, Germany, Poland, Spain, USA",English,Roman Polanski,"Yasmina Reza, Yasmina Reza",SBS Productions,7.2,"$25,000,000 ","$30,722,632 ",61,R,"Kate Winslet, Jodie Foster, Christoph Waltz, John C. Reilly, Elvis Polanski, Eliot Berger, Joseph Rezwin, Nathan Rippy, Tanya Lopert, Julie Adams"
848,Parto con mamma,The Guilt Trip,2012,2012.12.19,"Comedy, Drama",95,USA,English,Anne Fletcher,Dan Fogelman,Paramount Pictures,5.7,"$40,000,000 ","$41,863,726 ",50,PG-13,"Seth Rogen, Barbra Streisand, Kathy Najimy, Colin Hanks, Adam Scott, Brett Cullen, Yvonne Strahovski, Miriam Margolyes, Nora Dunn, Ari Graynor, Julene Renee, Zabryna Guevara, John Funk, Robert Curtis Brown, Rose Abdoo, Tom Virtue, Vivian Vanderwerd, Worth Howe, Vicki Goldsmith, Matthew Levinson, Joseph Levinson, Kevin O'Keefe, Rick Gonzalez, Casey Wilson, David Boller, Steve Tom, Gabrielle Gumbs, Dale Dickey, Analeis Lorig, Brandon Keener, Jeff Kober, Lorna Scott, Kathleen Fletcher, Kim Robillard, Pedro Lopez, Jen Zabrowski, Darryl Sivad, Davis Neves, Jackson Douglas, Constance Esposito, Patrick S. Harrigan, Shirley Charles, Dewain Robinson, Tim Davies"
849,The Virginity Hit,The Virginity Hit,2010,2010.9.24,Comedy,86,USA,English,"Huck Botko, Andrew Gurland","Andrew Gurland, Huck Botko",Artists First,4.6,"$2,000,000 ","$636,706 ",40,R,"Matt Bennett, Zack Pearlman, Jacob Davich, Justin Kline, Krysta Rodriguez, Nicole Weaver, Harry Zittel, Savannah Welch, Seth Barrish, Susan LaBreque, Tina Parker, Sunny Leone, Daniel Weber, John McLeaish, Ramona Tyler, Bernard Hocke, Dave Jensen, Keri Parker, Kathleen Barnes, Mallory Slack, Dacia Fernandez, Amanda Punch, Ashton Leigh, Rebecca Barras, Carina Kaiser, Danie Coleman, Felipe Echavarria, James L. Conner, M'bita Bakari, Bill Posley, Tyler Humphrey, Garrett Campbell, Brent P. Henry, Hunter McGregor, A.J. Allegra, Cody Bruno, Jason Cenac, Brandon Moore, Lee Nguyen, Joshua Beller, Scott Sierzega, Walter Enquist, Randall Riley, Lesley White, Matthew Bennett"
850,Una fantastica e incredibile giornata da dimenticare,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,2014.10.10,"Comedy, Family",81,USA,English,Miguel Arteta,"Rob Lieber, Rob Lieber",Walt Disney Pictures,6.2,"$28,000,000 ","$100,654,149 ",54,PG,"Steve Carell, Jennifer Garner, Ed Oxenbould, Dylan Minnette, Kerris Dorsey, Megan Mullally, Jennifer Coolidge, Bella Thorne, Elise Vargas, Zoey Vargas, Sidney Fullmer, Mekai Matthew Curtis, Lincoln Melcher, Reese C. Hartwig, Martha Hackett, Mary Matilyn Mouser, Alex Désert, Toni Trucks, Liz Carey, Rizwan Manji, Eric Edelstein, Tara Brooks, Tara Brook, Andrew Franklin, Cassandra Braden, Ruben Vernier, Donald Glover, Joel Johnstone, Ben Greene, Scott Keiji Takeda, Scott Takeda, Burn Gorman, Angelyna Martinez, Dennison Samaroo, Jesse Garcia (III), Joey Capone, Jonathan Slavin, Jonah Goldman, Katelyn Hilario, Samantha Logan, Alex Biffin, David F. Harris, Steve Bannos, Michael Blaiklock, Cort Rogers, Alina Phelan"
851,Peeples,Peeples,2013,2013.5.10,"Comedy, Romance",95,USA,English,Tina Gordon,Tina Gordon,34th Street Films,5.3,"$15,000,000 ","$9,307,166 ",52,PG-13,"Kerry Washington, David Alan Grier, S. Epatha Merkerson, Tyler James Williams, Tyler Williams, Melvin Van Peebles, Diahann Carroll, Malcolm Barrett, Kali Hawk, Kimrie Lewis, Ana Gasteyer, Briana Marin, Angelee Areu, Tuffy Questell, Jerome Preston Bates, Jordan Hall, Sylvia Kauders, Wade Allain-Marcus, Emilio Delgado, Christopher Gates, Catherine Pierce, Linda Thompson Williams"
852,Sausage Party - Vita segreta di una salsiccia,Sausage Party,2016,2016.10.31,"Animation, Adventure, Comedy",89,"USA, Canada",English,"Greg Tiernan, Conrad Vernon","Kyle Hunter, Ariel Shaffir",Annapurna Pictures,6.1,"$19,000,000 ","$140,705,322 ",66,R,"Bill Hader, James Franco, Danny McBride (IV), Craig Robinson, Paul Rudd, David Krumholtz, Michael Daingerfield, Ian James Corlett, Brian Dobson, Michael Dobson, Ian Hanlin, Maryke Hendrikse, Anders Holm, Lauren Miller, Nicole Oliver, Kelly Sheridan, Jason Simpson, Vincent Tong, Scott Diggs, Sam Vincent, Harland Williams, Seth Rogen, Jonah Hill, Kristen Wiig, Michael Cera, Edward Norton, Salma Hayek, Nick Kroll, Conrad Vernon"
853,Vicino a te non ho paura,Safe Haven,2013,2013.2.14,"Drama, Romance, Thriller",115,USA,"English, Portuguese",Lasse Hallstr�_,"Dana Stevens, Gage Lansky",Relativity Media,6.7,"$28,000,000 ","$97,594,140 ",34,PG-13,"Josh Duhamel, Julianne Hough, Cobie Smulders, David Lyons, Mimi Kirkland, Noah Lomax, Colbie Caillat, Gavin DeGraw, Irene Ziegler, Jon Kohler, Tim Parati, Giulia Pagano, Juan C. Piedrahita, Red West"
857,Bernie,Bernie,2011,2012.6.22,"Biography, Comedy, Crime",99,USA,English,Richard Linklater,"Skip Hollandsworth, Richard Linklater",Mandalay Vision,6.8,"$5,000,000 ","$10,173,061 ",75,PG-13,"Jack Black, Matthew McConaughey, Shirley MacLaine, Rick Dial, Brady Coleman, Richard Robichaux, Brandon Smith (I), Larry Jack Dotson, Merrille McCommas, Mathew Greer, Richard Jones, Charles Bailey, Suzi McLaughlin, Grant James, Julie Erickson, J.D. Young, Charlie Stewart, Joe Stevens, Raquel Gavia, Amparo Garcia-Crow, Toby Metcalf, Doug Moreland, Edward Ji, Jill Blackwood, David Blackwell, Gabriel Luna, Deana Newcomb, David Steakley, Peter Harrell Jr., Joe Reynolds, Christian Stokes, John Hornbuckle, Wray Crawford, Margaret Ann Hoard, Charles Allen Eskew, Quita Culpepper, Mona Lee Fultz, Jerry Biggs, Robert Works"
858,Chronicle,Chronicle,2012,2012.5.9,"Drama, Sci-Fi, Thriller",89,USA,English,Josh Trank,"Max Landis, Max Landis",Twentieth Century Fox,7,"$12,000,000 ","$126,636,097 ",69,PG-13,"Dane DeHaan, Alex Russell, Michael B. Jordan, Ashley Grace, Anna Wood, Bo Petersen, Michael Kelly, Rudi Malcolm, Luke Tyler, Crystal Donna Roberts, Adrian Collins, Grant Powell, Armand Aucamp, Nicole Bailey, Lynita Crofford, Royston Stoffels, Patrick Walton, Lance Elliott, Nadine Suliaman, Pierre Malherbe, Joe Vaz, Matthew Dylan Roberts, Allen Irwin, Chelsea Nortje, Francois Coetzee, Hendrik Kotze, Matt Adler, Robert Clotworthy, Jeff Fischer, Daisy Tormé, Chrystee Pharris, Daniel Booko, Byron Thames, Matt Nolan, Charles L. Campbell, Popeye V., Steve Kramer, Ashley Peldon, Paul Pape"
859,Snowpiercer,Snowpiercer,2013,2014.2.27,"Action, Drama, Sci-Fi",126,"South Korea, Czech Republic","English, Korean, French, Japanese, Czech, German",Bong Joon Ho,"Jacques Lob, Benjamin Legrand",SnowPiercer,7.1,"$39,200,000 ","$86,758,912 ",84,R,"Chris Evans, Song Kang Ho, Jamie Bell, John Hurt, Tilda Swinton, Octavia Spencer, Ewen Bremner, Ed Harris, Alison Pill, Kenny Doughty, Ko Ah-sung, Vlad Ivanov"
861,Lovely Molly,Lovely Molly,2011,2012.6.29,"Drama, Horror",100,USA,English,Eduardo S�_chez,"Jamie Nash, Eduardo S�_chez",Amber Entertainment,5.3,"$1,000,000 ","$638,274 ",50,R,"Gretchen Lodge, Johnny Lewis, Alexandra Holden, Field Blauvelt, Fred Blauvelt, Ken Arnold, Tara Garwood, Camilla Zaidee Bennett, Kevin Murray, Douglas Roberts, Dan Manning, Daniel Ross, Brandon Thane Wilson, Bus Howard, Joshua Jones, Bethany Hoffman, Mark Redfield, Rosemary Knower, Craig Sechler, Brenna McDonough, Caren Anton, Katie Foster, Lauren Lakis, MC John Judy, Shane Tunney, Todd Ryan Jones, Dan Franko, Matthew Bowerman, Steve Dantzler"
862,Joyful Noise - Armonie del cuore,Joyful Noise,2012,2012.1.13,"Comedy, Drama, Music",118,USA,English,Todd Graff,Todd Graff,Alcon Entertainment,5.7,"$25,000,000 ","$31,158,113 ",44,PG-13,"Queen Latifah, Dolly Parton, Keke Palmer, Dexter Darden, Courtney B. Vance, Kirk Franklin, Angela Grovey, Andy Karl, Dequina Moore, Kris Kristofferson, Jesse L. Martin, Paul Woolfolk, Francis Jue, Roy Huang, Judd Lormand, Karen Peck and New River, Ivan Kelley Jr., David Dwyer, Stevie Ray Dallimore, Kevin Bulla, Ziah Colón, Hajji Golightly, Rana Kirkland, Bruce Williamson, Maurice Johnson"
863,La festa prima delle feste,Office Christmas Party,2016,2016.12.7,Comedy,105,USA,"English, Russian","Josh Gordon, Will Speck","Jon Lucas, Scott Moore",DreamWorks,5.8,"$45,000,000 ","$114,501,299 ",42,R,"Jennifer Aniston, Jason Bateman, T.J. Miller, Kate McKinnon, Randall Park, Olivia Munn, Jillian Bell, Rob Corddry, Vanessa Bayer, Jamie Chung, Courtney B. Vance, Karan Soni"
