,year,title,original_title,date_published,genre,duration,country,production_company,avg_vote,metascore,content_rating,oscar_name,oscar_category,oscar_winner,book,worlwide_gross_income1,worlwide_gross_income2,budget1,budget2
2539,2011,L'arte di vincere,Moneyball,2012-01-27,"Biography, Drama, Sport",133,USA,Columbia Pictures,7.6,87.0,PG-13,"Michael De Luca, Rachael Horovitz and Brad Pitt, Producers",BEST PICTURE,False,,$,110206216,$,50000000
2540,2011,L'arte di vincere,Moneyball,2012-01-27,"Biography, Drama, Sport",133,USA,Columbia Pictures,7.6,87.0,PG-13,"Deb Adair, Ron Bochar, David Giammarco and Ed Novick",SOUND MIXING,False,,$,110206216,$,50000000
2541,2011,L'arte di vincere,Moneyball,2012-01-27,"Biography, Drama, Sport",133,USA,Columbia Pictures,7.6,87.0,PG-13,Screenplay by Steven Zaillian and Aaron Sorkin; Story by Stan Chervin,WRITING (Adapted Screenplay),False,,$,110206216,$,50000000
2544,2011,Solo per vendetta,Seeking Justice,2011-09-02,"Action, Crime, Drama",105,USA,Endgame Entertainment,6.2,38.0,R,,,,,$,14089528,$,17000000
2545,2011,Cars 2,Cars 2,2011-06-22,"Animation, Adventure, Comedy",106,USA,Walt Disney Pictures,6.1,57.0,G,,,,,$,559852396,$,200000000
2546,2011,World Invasion,Battle Los Angeles,2011-04-22,"Action, Sci-Fi",116,USA,Columbia Pictures,5.7,37.0,,,,,,$,211819354,$,70000000
2547,2011,Limitless,Limitless,2011-04-15,"Sci-Fi, Thriller",105,USA,Relativity Media,7.4,59.0,PG-13,,,,,$,161849455,$,27000000
2552,2011,Il signore dello zoo,Zookeeper,2011-08-05,"Comedy, Family, Fantasy",102,USA,Columbia Pictures,5.2,30.0,PG,,,,,$,169852759,$,80000000
2555,2011,Mission: Impossible - Protocollo fantasma,Mission: Impossible - Ghost Protocol,2012-01-27,"Action, Adventure, Thriller",132,"USA, United Arab Emirates, Czech Republic, India, Canada",Paramount Pictures,7.4,73.0,,,,,,$,694713380,$,145000000
2561,2011,Ironclad,Ironclad,2011-03-04,"Action, Drama, History",121,"UK, Switzerland, USA, Germany",Mythic International Entertainment,6.1,42.0,R,,,,,$,5151023,$,25000000
2562,2011,Pariah,Pariah,2011-01-20,Drama,86,USA,Chicken And Egg Pictures,7.2,79.0,R,,,,,$,769552,$,450000
2563,2011,Pariah,Pariah,2011-01-20,Drama,86,USA,Chicken And Egg Pictures,7.2,79.0,R,,,,,$,769552,$,450000
2565,2011,The Future,The Future,2011-08-17,"Drama, Fantasy, Romance",91,"France, Germany, USA",GNK Productions,6.2,67.0,R,,,,,$,887172,$,1000000
2566,2011,Medianeras - Innamorarsi a Buenos Aires,Medianeras,2014-10-02,"Comedy, Drama",95,"Argentina, Spain, Germany",Eddie Saeta S.A.,7.5,60.0,,,,,,$,1008116,$,11000000
2572,2011,Sua Maestà,Your Highness,2011-04-08,"Adventure, Comedy, Fantasy",102,USA,Universal Pictures,5.5,31.0,R,,,,,$,28013733,$,49900000
2573,2011,Hetjur Valhallar - Þór,Hetjur Valhallar - Þór,2011-10-14,"Animation, Adventure, Comedy",79,"Iceland, Germany, Ireland",CAOZ hf.,5.0,,,,,,,$,7600557,EUR,8311000
2574,2011,...e ora parliamo di Kevin,We Need to Talk About Kevin,2012-02-17,"Drama, Mystery, Thriller",112,"UK, USA",BBC Films,7.5,68.0,R,,,,We Need to Talk About Kevin,$,9232318,$,7000000
2575,2011,"Father, Son & Holy Cow","Father, Son & Holy Cow",2012-02-16,Comedy,90,"Poland, Germany, Finland",Black Forest Films,6.8,,,,,,,$,27155,$,1500000
2578,2011,Bellflower,Bellflower,2012-03-21,"Action, Drama, Romance",106,USA,Coatwolf Productions,6.4,72.0,R,,,,,$,172935,$,17000
2581,2011,Salvation Boulevard,Salvation Boulevard,2011-07-15,"Comedy, Crime, Drama",96,USA,Mandalay Vision,5.3,35.0,R,,,,,$,89182,$,5500000
2582,2011,Immortals,Immortals,2011-11-11,"Action, Drama, Fantasy",110,"USA, Canada, UK",Relativity Media,6.0,46.0,R,,,,,$,226904017,$,75000000
2583,2011,Quella casa nel bosco,The Cabin in the Woods,2012-05-18,Horror,95,USA,Lionsgate,7.0,72.0,R,,,,,$,69935600,$,30000000
2590,2011,Scream 4,Scream 4,2011-04-15,"Horror, Mystery",111,USA,Dimension Films,6.1,52.0,R,,,,,$,97231420,$,40000000
2591,2011,The Roommate - Il terrore ti dorme accanto,The Roommate,2011-02-04,"Drama, Mystery, Thriller",94,USA,Screen Gems,4.8,23.0,PG-13,,,,,$,40492652,$,16000000
2593,2011,"Harold & Kumar, un Natale da ricordare",A Very Harold & Kumar 3D Christmas,2011-11-04,"Adventure, Comedy",90,USA,New Line Cinema,6.3,61.0,,,,,,$,36192775,$,19000000
2595,2011,The Devil's Double,The Devil's Double,2011-09-08,"Biography, Drama, Thriller",109,"Belgium, Netherlands",Corsan,7.1,52.0,R,,,,,$,5728213,$,19100000
2596,2011,X-Men - L'inizio,X: First Class,2011-06-08,"Action, Adventure, Sci-Fi",131,"USA, UK",Twentieth Century Fox,7.7,65.0,,,,,,$,352616690,$,160000000
2601,2011,Fort McCoy,Fort McCoy,2014-08-15,"Drama, History, War",100,USA,Marzipan Entertainment,5.9,47.0,R,,,,,$,78948,$,3000000
2602,2011,Bad Teacher - Una cattiva maestra,Bad Teacher,2011-08-31,"Comedy, Romance",92,USA,Columbia Pictures,5.6,47.0,R,,,,,$,216197492,$,20000000
2603,2011,Don 2,Don 2,2011-12-23,"Action, Crime, Thriller",148,"India, Germany",Excel Entertainment,7.1,49.0,PG,,,,,$,6913518,$,16700000
2606,2011,Warrior,Warrior,2011-11-04,"Action, Drama, Sport",140,USA,Lionsgate,8.2,71.0,PG-13,Nick Nolte,ACTOR IN A SUPPORTING ROLE,False,,$,23308615,$,25000000
2609,2011,The FP,The FP,2011-03-13,"Action, Comedy, Drama",82,USA,248 Productions,5.6,48.0,R,,,,,$,40557,$,60000
2611,2011,Eva,Eva,2012-08-31,"Drama, Fantasy, Sci-Fi",94,"Spain, France",Canal+ España,6.7,57.0,NR,,,,,$,1292789,EUR,7000000
2612,2011,Pirati dei Caraibi - Oltre i confini del mare,Pirates of the Caribbean: On Stranger Tides,2011-05-18,"Action, Adventure, Fantasy",137,"USA, UK",Walt Disney Pictures,6.6,45.0,PG-13,,,,,$,1045713802,$,250000000
2613,2011,Kung Fu Panda 2,Kung Fu Panda 2,2011-08-24,"Animation, Action, Adventure",90,USA,DreamWorks Animation,7.2,67.0,PG,Jennifer Yuh Nelson,ANIMATED FEATURE FILM,False,,$,665692281,$,150000000
2617,2011,Milo su Marte,Mars Needs Moms,2011-06-01,"Animation, Action, Adventure",88,USA,Walt Disney Pictures,5.4,49.0,PG,,,,,$,39233678,$,150000000
2618,2011,50 e 50,50/50,2012-03-02,"Comedy, Drama, Romance",100,USA,Summit Entertainment,7.6,72.0,R,,,,,$,41097853,$,8000000
2620,2011,Go for It!,Go for It!,2011-05-13,"Drama, Musical",105,USA,Go For It!,3.8,44.0,,,,,,$,180237,$,200000
2631,2011,There Be Dragons - Un santo nella tempesta,There Be Dragons,2011-03-25,"Biography, Drama, War",122,"Spain, USA, Argentina",Antena 3 Films,5.8,33.0,PG-13,,,,,$,4372642,$,36000000
2633,2011,L'alba del pianeta delle scimmie,Rise of the Planet of the Apes,2011-09-23,"Action, Drama, Sci-Fi",105,"USA, UK, Canada",Twentieth Century Fox,7.6,68.0,PG-13,"Joe Letteri, Dan Lemmon, R. Christopher White and Daniel Barrett",VISUAL EFFECTS,False,,$,481800873,$,93000000
2634,2011,Mr. Beaver,The Beaver,2011-05-20,Drama,91,"USA, United Arab Emirates",Summit Entertainment,6.6,60.0,PG-13,,,,,$,7294800,$,21000000
2636,2011,The Last Death,La última muerte,2012-01-27,"Sci-Fi, Thriller",104,Mexico,Lemon Studios,5.7,,,,,,,$,297323,MXN,40000000
2639,2011,The Twilight Saga: Breaking Dawn - Parte 1,The Twilight Saga: Breaking Dawn - Part 1,2011-11-16,"Adventure, Drama, Fantasy",117,USA,Summit Entertainment,4.9,45.0,,,,,,$,712205856,$,110000000
2642,2011,The Resident,The Resident,2011-03-11,"Drama, Horror, Mystery",91,"UK, USA",Exclusive Media Group,5.3,,R,,,,,$,6742156,$,20000000
2644,2011,Arturo,Arthur,2011-06-29,"Comedy, Romance",110,USA,Warner Bros.,5.7,36.0,PG,,,,,$,48147945,$,40000000
2645,2011,Arturo,Arthur,2011-06-29,"Comedy, Romance",110,USA,Warner Bros.,5.7,36.0,PG-13,,,,,$,48147945,$,40000000
2648,2011,Slaughter Creek,Slaughter Creek,2013-04-29,"Drama, Horror",94,USA,Americana Films,3.1,,,,,,,$,136815,$,1000000
2653,2011,La talpa,Tinker Tailor Soldier Spy,2012-01-13,"Drama, Mystery, Thriller",122,"France, UK, Germany, USA",StudioCanal,7.0,85.0,R,Gary Oldman,ACTOR IN A LEADING ROLE,False,,$,81244605,GBP,20000000
2654,2011,La talpa,Tinker Tailor Soldier Spy,2012-01-13,"Drama, Mystery, Thriller",122,"France, UK, Germany, USA",StudioCanal,7.0,85.0,R,Alberto Iglesias,MUSIC (Original Score),False,,$,81244605,GBP,20000000
2655,2011,La talpa,Tinker Tailor Soldier Spy,2012-01-13,"Drama, Mystery, Thriller",122,"France, UK, Germany, USA",StudioCanal,7.0,85.0,R,Screenplay by Bridget O'Connor & Peter Straughan,WRITING (Adapted Screenplay),False,,$,81244605,GBP,20000000
2662,2011,Savages Crossing,Savages Crossing,2013-08-20,Thriller,85,Australia,Winnah Films,3.6,,,,,,,$,3928,AUD,3000000
2663,2011,Le chat du rabbin,Le chat du rabbin,2011-06-01,"Animation, Comedy, Fantasy",100,France,Autochenille Production,7.2,74.0,,,,,,$,4208573,EUR,12500000
2668,2011,Sex and Zen 3D,3D Yuk po tuen: Gik lok bo gam,2011-09-30,"Comedy, Drama",129,Hong Kong,Local Production,4.3,36.0,,,,,,$,10308238,$,3500000
2669,2011,Lo spaventapassere,The Sitter,2012-08-10,Comedy,81,USA,Twentieth Century Fox,5.7,39.0,R,,,,,$,34942188,$,25000000
2672,2011,Alois Nebel,Alois Nebel,2011-09-29,"Animation, Drama",84,"Czech Republic, Germany",Negativ,6.7,,,,,,,$,664185,EUR,2500000
2684,2011,Hella W,Hella W,2011-01-28,"Biography, Drama, History",82,"Finland, Estonia",Snapper Films Oy,5.3,,,,,,,$,942533,EUR,1730000
2688,2011,Death of a Superhero,Death of a Superhero,2012-08-30,Drama,97,"Germany, Ireland",Bavaria Pictures,7.1,,,,,,,$,41575,EUR,3800000
2690,2011,I guardiani del destino,The Adjustment Bureau,2011-06-17,"Romance, Sci-Fi, Thriller",106,USA,Universal Pictures,7.0,60.0,PG-13,,,,,$,127869379,$,50200000
2691,2011,This Is Not a Movie,This Is Not a Movie,2011-01-28,"Comedy, Drama",99,Mexico,Kung Fu Films,4.6,,,,,,,$,116801,$,3000000
2694,2011,La mia vita è uno zoo,We Bought a Zoo,2012-06-08,"Comedy, Drama, Family",124,USA,Twentieth Century Fox,7.1,58.0,PG,,,,,$,120081841,$,50000000
2699,2011,Sal,Sal,2012-05-17,"Drama, Western",114,"Chile, Argentina",Picardia Films,5.2,,,,,,,$,23881,$,1300000
2700,2011,I pinguini di Mr. Popper,Mr. Popper's Penguins,2011-08-12,"Comedy, Family, Fantasy",94,USA,Twentieth Century Fox,6.0,53.0,PG,,,,Mr. Popper's Penguins,$,187361754,$,55000000
2701,2011,Transformers 3,Transformers: Dark of the Moon,2011-06-29,"Action, Adventure, Sci-Fi",154,USA,Paramount Pictures,6.2,42.0,PG-13,Ethan Van der Ryn and Erik Aadahl,SOUND EDITING,False,,$,1123794079,$,195000000
2702,2011,Transformers 3,Transformers: Dark of the Moon,2011-06-29,"Action, Adventure, Sci-Fi",154,USA,Paramount Pictures,6.2,42.0,PG-13,"Greg P. Russell, Gary Summers, Jeffrey J. Haboush and Peter J. Devlin",SOUND MIXING,False,,$,1123794079,$,195000000
2703,2011,Transformers 3,Transformers: Dark of the Moon,2011-06-29,"Action, Adventure, Sci-Fi",154,USA,Paramount Pictures,6.2,42.0,PG-13,"Scott Farrar, Scott Benza, Matthew Butler and John Frazier",VISUAL EFFECTS,False,,$,1123794079,$,195000000
2705,2011,Unknown - Senza identità,Unknown,2011-02-28,"Action, Mystery, Thriller",113,"UK, Germany, France, USA",Dark Castle Entertainment,6.8,56.0,PG-13,,,,,$,135710029,$,30000000
2710,2011,Happy Feet 2,Happy Feet Two,2011-11-25,"Animation, Adventure, Comedy",100,"Australia, USA",Warner Bros.,5.9,50.0,PG,,,,,$,159196936,$,135000000
2714,2011,Rughe,Arrugas,2012-01-27,"Animation, Drama",89,Spain,Cromosoma TV produccions,7.6,81.0,,,,,,$,191974,EUR,2000000
2716,2011,Stillleben,Stillleben,2011-09-21,Drama,78,Austria,FreibeuterFilm,6.6,,,,,,,$,22864,EUR,1500000
2718,2011,I fiori della guerra,Jin ling shi san chai,2011-12-16,"Drama, History, Romance",146,"China, Hong Kong",Beijing New Picture Film Co.,7.6,46.0,,,,,,$,2855644,$,94000000
2719,2011,Klyuch salamandry,Klyuch salamandry,2011-03-24,Action,110,"Russia, USA, Netherlands",Arsenal TV,4.3,,,,,,,$,1314843,$,10000000
2720,2011,"Amici, amanti e...",No Strings Attached,2011-03-25,"Comedy, Romance",108,"USA, UK",Paramount Pictures,6.2,50.0,R,,,,,$,149228077,$,25000000
2721,2011,Bucky Larson: Born to Be a Star,Bucky Larson: Born to Be a Star,2011-09-09,Comedy,97,USA,Columbia Pictures,3.2,9.0,R,,,,,$,2530394,$,10000000
2722,2011,Una notte da leoni 2,The Hangover Part II,2011-05-25,Comedy,102,"USA, Thailand",Warner Bros.,6.4,44.0,R,,,,,$,586764305,$,80000000
2723,2011,Hop,Hop,2011-04-01,"Animation, Adventure, Comedy",95,USA,Universal Pictures,5.4,41.0,PG,,,,,$,183953723,$,63000000
2724,2011,Marigold Hotel,The Best Exotic Marigold Hotel,2012-03-30,"Comedy, Drama, Romance",124,"UK, USA, United Arab Emirates",Blueprint Pictures,7.2,62.0,PG-13,,,,,$,136836156,$,10000000
2727,2011,Bulletproof Man,Kill the Irishman,2012-05-11,"Biography, Crime, Drama",106,USA,Anchor Bay Films,7.1,50.0,R,,,,,$,1188194,$,12000000
2730,2011,Il commissario Torrente - Il braccio idiota della legge,Torrente 4,2013-05-02,"Action, Comedy, Crime",93,Spain,Amiguetes Entertainment,5.4,,,,,,,$,29737384,EUR,8000000
2732,2011,A Lonely Place to Die,A Lonely Place to Die,2011-09-07,"Crime, Thriller",99,UK,Carnaby International,6.2,,R,,,,,$,442550,$,4000000
2735,2011,Wie man leben soll,Wie man leben soll,2011-10-07,"Comedy, Drama",100,"Denmark, Austria",Dor Film Produktionsgesellschaft,6.4,,,,,,,$,332551,EUR,2700000
2740,2011,Il figlio di Babbo Natale,Arthur Christmas,2011-12-23,"Animation, Adventure, Comedy",97,"UK, USA",Aardman Animations,7.1,69.0,PG,,,,,$,147419472,$,100000000
2744,2011,Amore e matrimonio,"Love, Wedding, Marriage",2011-06-24,Comedy,90,USA,Chydzik Media Group,4.9,13.0,,,,,,$,515823,$,12000000
2745,2011,Rio,Rio,2011-04-15,"Animation, Adventure, Comedy",96,"USA, Brazil",Twentieth Century Fox Animation,6.9,63.0,G,Music by Sergio Mendes and Carlinhos Brown; Lyric by Siedah Garrett,MUSIC (Original Song),False,,$,483866518,$,90000000
2746,2011,Assassination Games - Giochi di morte,Assassination Games,2012-01-19,"Action, Crime, Drama",101,"USA, Hong Kong, Romania",Mediapro Studios,6.1,,,,,,,$,110784,$,8000000
2748,2011,Faust,Faust,2011-10-26,"Drama, Fantasy, Mystery",140,Russia,Mass Media Development and Support Foundation,6.6,65.0,NR,,,,,$,58132,EUR,8000000
2749,2011,Faust,Faust,2011-10-26,"Drama, Fantasy, Mystery",140,Russia,Mass Media Development and Support Foundation,6.6,65.0,NR,,,,,$,58132,EUR,8000000
2750,2011,Bed Time,Mientras duermes,2012-07-27,"Drama, Horror, Thriller",102,Spain,Canal+ España,7.2,70.0,,,,,,$,8791590,$,5000000
2751,2011,Fright Night - Il vampiro della porta accanto,Fright Night,2011-08-26,"Comedy, Horror",106,USA,DreamWorks,6.3,64.0,R,,,,,$,41002607,$,30000000
2752,2011,Fright Night - Il vampiro della porta accanto,Fright Night,2011-08-26,"Comedy, Horror",106,USA,DreamWorks,6.3,64.0,R,,,,,$,41002607,$,30000000
2756,2011,This Must Be the Place,This Must Be the Place,2011-10-14,"Comedy, Drama",118,"Italy, France, Ireland",Indigo Film,6.7,61.0,,,,,,$,11928909,EUR,25000000
2762,2011,Game of Death,Game of Death,2011-06-09,"Action, Adventure, Thriller",98,USA,Perpetual Media Capital,4.7,,R,,,,,$,189805,$,13000000
2763,2011,Game of Death,Game of Death,2011-06-09,"Action, Adventure, Thriller",98,USA,Perpetual Media Capital,4.7,,NR,,,,,$,189805,$,13000000
2766,2011,Killer Elite,Killer Elite,2012-06-01,"Action, Thriller",116,"UK, Australia",Omnilab Media,6.4,44.0,R,,,,,$,57084522,$,70000000
2767,2011,Winnie the Pooh - Nuove avventure nel Bosco dei Cento Acri,Winnie the Pooh,2011-04-20,"Animation, Adventure, Comedy",63,USA,Walt Disney Pictures,7.2,74.0,G,,,,,$,49871429,$,30000000
2771,2011,Maga Martina 2 - Viaggio in India,Hexe Lilli: Die Reise nach Mandolan,2011-10-21,"Comedy, Family, Fantasy",90,"Germany, Spain, Austria",Blue Eyes Fiction,4.8,,,,,,,$,8851385,EUR,10000000
2774,2011,The Help,The Help,2012-01-20,Drama,146,USA,DreamWorks,8.0,62.0,PG-13,Viola Davis,ACTRESS IN A LEADING ROLE,False,The Help,$,216639112,$,25000000
2775,2011,The Help,The Help,2012-01-20,Drama,146,USA,DreamWorks,8.0,62.0,PG-13,Jessica Chastain,ACTRESS IN A SUPPORTING ROLE,False,The Help,$,216639112,$,25000000
2776,2011,The Help,The Help,2012-01-20,Drama,146,USA,DreamWorks,8.0,62.0,PG-13,Octavia Spencer,ACTRESS IN A SUPPORTING ROLE,True,The Help,$,216639112,$,25000000
2777,2011,The Help,The Help,2012-01-20,Drama,146,USA,DreamWorks,8.0,62.0,PG-13,"Brunson Green, Chris Columbus and Michael Barnathan, Producers",BEST PICTURE,False,The Help,$,216639112,$,25000000
2782,2011,Habemus Papam,Habemus Papam,2011-04-15,"Comedy, Drama",102,"Italy, France",Sacher Film,6.7,64.0,,,,,,$,17877523,EUR,9000000
2785,2011,Tactical Force - Teste di cuoio,Tactical Force,2011-08-09,Action,91,Canada,"Nasser Group, North",4.8,,,,,,,$,148850,$,8400000
2787,2011,Dream House,Dream House,2012-08-03,"Drama, Mystery, Thriller",84,"USA, Canada",Cliffjack Motion Pictures,6.0,35.0,PG-13,,,,,$,39984400,$,50000000
2789,2011,Big Mama: Tale padre tale figlio,"Big Mommas: Like Father, Like Son",2011-07-08,"Action, Comedy, Crime",107,USA,Regency Enterprises,4.4,22.0,PG-13,,,,,$,82686066,$,32000000
2790,2011,Odcházení,Odcházení,2011-03-24,"Comedy, Drama",94,Czech Republic,Buc-Film,5.9,,,,,,,$,252898,CZK,44000000
2791,2011,Sono il numero quattro,I Am Number Four,2011-02-18,"Action, Adventure, Sci-Fi",111,"USA, India",DreamWorks,6.1,36.0,PG-13,,,,I Am Number Four,$,149878437,$,60000000
2792,2011,The Italian Key,The Italian Key,2011-12-16,"Comedy, Drama, Romance",92,"Finland, USA, Italy, UK",Harmaa Media,5.7,,,,,,,$,40720,$,1800000
2796,2011,Cartas a Elena,Cartas a Elena,2012-03-09,Drama,97,"USA, Mexico",Cartas a Elena,6.0,,,,,,,$,121254,$,1200000
2800,2011,Area Q.,Area Q.,2012-04-13,"Sci-Fi, Thriller",114,"USA, Brazil",Reef Pictures,4.3,,,,,,,$,189995,$,4000000
2811,2011,Benvenuti a Cedar Rapids,Cedar Rapids,2011-07-01,Comedy,87,USA,Ad Hominem Enterprises,6.2,70.0,R,,,,,$,7728936,$,10000000
2812,2011,Le amiche della sposa,Bridesmaids,2011-08-19,"Comedy, Romance",125,USA,Universal Pictures,6.8,75.0,R,Melissa McCarthy,ACTRESS IN A SUPPORTING ROLE,False,,$,288383523,$,32500000
2813,2011,Le amiche della sposa,Bridesmaids,2011-08-19,"Comedy, Romance",125,USA,Universal Pictures,6.8,75.0,R,Written by Annie Mumolo & Kristen Wiig,WRITING (Original Screenplay),False,,$,288383523,$,32500000
2815,2011,Attack the Block - Invasione aliena,Attack the Block,2012-05-30,"Action, Adventure, Comedy",88,UK,Screen Gems,6.6,75.0,R,,,,,$,6206022,$,13000000
2819,2011,Cappuccetto rosso sangue,Red Riding Hood,2011-04-22,"Fantasy, Horror, Mystery",100,"USA, Canada",Warner Bros.,5.5,29.0,PG-13,,,,Red Riding Hood,$,90260376,$,42000000
2821,2011,5 Days of War,5 Days of War,2011-06-06,"Action, Drama, War",113,"Georgia, USA",Rex Media,5.6,31.0,,,,,,$,316944,$,12000000
2825,2011,Cambio vita,The Change-Up,2011-12-09,"Comedy, Fantasy",112,USA,Universal Pictures,6.3,39.0,R,,,,,$,75450437,$,52000000
2835,2011,L'amore che resta,Restless,2011-10-07,"Drama, Romance",91,USA,Columbia Pictures,6.8,47.0,PG-13,,,,Restless,$,2518012,$,8000000
2837,2011,"Filth to Ashes, Flesh to Dust","Filth to Ashes, Flesh to Dust",2011-09-30,Horror,90,USA,Jeoa Productions,2.3,,,,,,,$,202531,$,100000
2838,2011,Come ammazzare il capo... e vivere felici,Horrible Bosses,2011-08-17,"Comedy, Crime",98,USA,New Line Cinema,6.9,57.0,R,,,,,$,209838559,$,35000000
2842,2011,Drive Angry,Drive Angry,2011-04-08,"Action, Fantasy, Thriller",104,USA,Summit Entertainment,5.4,44.0,R,,,,,$,40909909,$,50000000
2848,2011,Knockout - Resa dei conti,Haywire,2012-02-24,"Action, Drama, Thriller",93,"Ireland, USA",Relativity Media,5.8,67.0,R,,,,,$,34513760,$,23000000
2853,2011,Miracolo a Le Havre,Le Havre,2011-11-25,"Comedy, Drama",93,"Finland, France, Germany",Sputnik,7.2,82.0,PG,,,,,$,12959706,EUR,3850000
2854,2011,I tre moschettieri,The Three Musketeers,2011-10-14,"Action, Adventure, Fantasy",110,"USA, Germany, France, UK",Summit Entertainment,5.7,35.0,NR,,,,,$,132274484,$,75000000
2855,2011,I tre moschettieri,The Three Musketeers,2011-10-14,"Action, Adventure, Fantasy",110,"USA, Germany, France, UK",Summit Entertainment,5.7,35.0,PG,,,,,$,132274484,$,75000000
2856,2011,I tre moschettieri,The Three Musketeers,2011-10-14,"Action, Adventure, Fantasy",110,"USA, Germany, France, UK",Summit Entertainment,5.7,35.0,PG,,,,,$,132274484,$,75000000
2857,2011,I tre moschettieri,The Three Musketeers,2011-10-14,"Action, Adventure, Fantasy",110,"USA, Germany, France, UK",Summit Entertainment,5.7,35.0,PG-13,,,,,$,132274484,$,75000000
2865,2011,Sherlock Holmes - Gioco di ombre,Sherlock Holmes: A Game of Shadows,2011-12-16,"Action, Adventure, Mystery",129,"USA, UK",Warner Bros.,7.5,48.0,PG-13,,,,,$,543848418,$,125000000
2869,2011,Spy Kids 4 - È tempo di eroi,Spy Kids 4: All the Time in the World,2011-08-19,"Action, Adventure, Comedy",89,USA,Dimension Films,3.5,37.0,,,,,,$,85564310,$,27000000
2872,2011,Anonymous,Anonymous,2011-11-18,"Drama, Thriller",130,"UK, Germany, USA",Columbia Pictures,6.9,50.0,PG-13,Lisy Christl,COSTUME DESIGN,False,,$,15395087,$,30000000
2882,2011,Gantz Revolution,Gantz: Perfect Answer,2011-04-23,"Action, Horror, Mystery",141,Japan,Horipro,6.2,,,,,,,$,33672515,$,22000000
2886,2011,Melancholia,Melancholia,2011-10-21,"Drama, Sci-Fi",135,"Denmark, Sweden, France, Germany",Zentropa Entertainments,7.2,80.0,R,,,,,$,17039814,$,7400000
2889,2011,Sulla strada di casa,Sulla strada di casa,2012-02-03,Drama,80,Italy,Marvin Film Partners,6.7,,,,,,,$,24110,EUR,300000
2890,2011,Hotel Lux,Hotel Lux,2011-10-27,Comedy,102,"Germany, Liechtenstein, France",Bavaria Pictures,6.0,,,,,,,$,1643414,$,11000000
2898,2011,Shaolin,Xin Shao Lin si,2011-01-27,"Action, Drama",131,"Hong Kong, China",Emperor Classic Films,6.9,53.0,,,,,,$,42982973,$,29000000
2900,2011,B+ jing taam,B+ jing taam,2011-05-12,"Crime, Drama, Thriller",104,Hong Kong,Beijing Enlight Pictures,5.7,,,,,,,$,1119052,$,9000000
2905,2011,C'è chi dice no,C'è chi dice no,2011-04-08,Comedy,95,Italy,Cattleya,6.1,,,,,,,$,2715050,$,8100000
2910,2011,The Son of No One,The Son of No One,2011-07-09,"Action, Crime, Drama",90,USA,Millennium Films,5.1,36.0,R,,,,,$,1091132,$,15000000
2911,2011,The Divide,The Divide,2012-04-20,"Drama, Horror, Sci-Fi",112,"USA, Germany, Canada, France",Preferred Content,5.8,28.0,R,,,,,$,145676,$,3000000
2913,2011,Punto d'impatto,The Ledge,2011-06-10,"Drama, Romance, Thriller",101,"USA, Germany, Saudi Arabia",Foresight Unlimited,6.5,34.0,R,,,,,$,1247188,$,10000000
2914,2011,W.E. - Edward e Wallis,W.E.,2012-06-08,"Drama, History, Romance",119,UK,Semtex Films,6.3,37.0,R,Arianne Phillips,COSTUME DESIGN,False,,$,2042203,$,15000000
2916,2011,Faces in the Crowd - Frammenti di un omicidio,Faces in the Crowd,2011-10-07,"Crime, Drama, Mystery",103,"USA, France, Canada, UK",Minds Eye Entertainment,5.7,,R,,,,,$,93759,$,10000000
2920,2011,Un poliziotto da happy hour,The Guard,2011-10-21,"Comedy, Crime, Thriller",96,Ireland,Reprisal Films,7.3,78.0,R,,,,The Guard,$,19561904,$,6000000
2923,2011,Le regole della truffa,Flypaper,2011-08-26,"Comedy, Crime, Mystery",87,"Germany, USA",The Safran Company,6.4,37.0,NR,,,,,$,4453634,$,5000000
2925,2011,Il ventaglio segreto,Snow Flower and the Secret Fan,2011-07-15,"Drama, History",104,"China, USA",IDG China Media,6.1,42.0,,,,,Snow Flower and the Secret Fan,$,11348205,$,6000000
2929,2011,At the End of the Day - Un giorno senza fine,War Games,2011-07-22,"Action, Horror, Thriller",93,Italy,The Mob,4.5,,,,,,,$,445968,EUR,1000000
2932,2011,Orla Frøsnapper,Orla Frøsnapper,2011-06-01,"Animation, Comedy, Family",78,Denmark,Crone Film Produktion A/S,4.9,,,,,,,$,2941889,DKK,5500000
2935,2011,Les yeux de sa mère,Les yeux de sa mère,2011-03-23,Drama,105,"France, Belgium",LGM Productions,6.0,,,,,,,$,1513304,$,15000000
2938,2011,El páramo,El páramo,2011-10-07,"Horror, Thriller",108,"Colombia, Argentina, Spain",Alta Producción,5.3,,,,,,,$,6937,$,1300000
2940,2011,Judy Moody and the Not Bummer Summer,Judy Moody and the Not Bummer Summer,2011-06-10,"Comedy, Family",91,USA,Relativity Media,4.3,37.0,,,,,,$,15691640,$,20000000
2942,2011,Another Earth,Another Earth,2012-05-18,"Drama, Romance, Sci-Fi",92,USA,Artists Public Domain,7.0,66.0,PG-13,,,,,$,1938783,$,100000
2943,2011,Elles,Elles,2012-09-28,Drama,99,"France, Poland, Germany",Slot Machine,5.6,50.0,NC17,,,,,$,3822241,EUR,4000000
2944,2011,Café de Flore,Café de Flore,2011-11-18,"Drama, Romance",120,"Canada, France",Item 7,7.4,53.0,R,,,,,$,1227259,CAD,10000000
2946,2011,Winnie,Winnie,2012-10-05,"Biography, Drama, History",104,"South Africa, Canada",Ironwood Films,6.0,37.0,,,,,,$,80634,$,15000000
