,year,title,original_title,date_published,genre,duration,country,production_company,avg_vote,metascore,content_rating,oscar_name,oscar_category,oscar_winner,book,worlwide_gross_income1,worlwide_gross_income2,budget1,budget2
8389,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,"Arnon Milchan, Steve Golin, Alejandro G. Iñárritu, Mary Parent and Keith Redmon, Producers",BEST PICTURE,False,The Revenant,$,532950503,$,135000000
8390,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,"Arnon Milchan, Steve Golin, Alejandro G. Iñárritu, Mary Parent and Keith Redmon, Producers",BEST PICTURE,False,The Revenant,$,532950503,$,135000000
8391,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,Production Design: Jack Fisk; Set Decoration: Hamish Purdy,PRODUCTION DESIGN,False,The Revenant,$,532950503,$,135000000
8392,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,Production Design: Jack Fisk; Set Decoration: Hamish Purdy,PRODUCTION DESIGN,False,The Revenant,$,532950503,$,135000000
8393,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,Production Design: Jack Fisk; Set Decoration: Hamish Purdy,PRODUCTION DESIGN,False,The Revenant,$,532950503,$,135000000
8394,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,Production Design: Jack Fisk; Set Decoration: Hamish Purdy,PRODUCTION DESIGN,False,The Revenant,$,532950503,$,135000000
8395,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,Production Design: Jack Fisk; Set Decoration: Hamish Purdy,PRODUCTION DESIGN,False,The Revenant,$,532950503,$,135000000
8396,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,Production Design: Jack Fisk; Set Decoration: Hamish Purdy,PRODUCTION DESIGN,False,The Revenant,$,532950503,$,135000000
8397,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,Production Design: Jack Fisk; Set Decoration: Hamish Purdy,PRODUCTION DESIGN,False,The Revenant,$,532950503,$,135000000
8398,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,Production Design: Jack Fisk; Set Decoration: Hamish Purdy,PRODUCTION DESIGN,False,The Revenant,$,532950503,$,135000000
8399,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,Production Design: Jack Fisk; Set Decoration: Hamish Purdy,PRODUCTION DESIGN,False,The Revenant,$,532950503,$,135000000
8400,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,Production Design: Jack Fisk; Set Decoration: Hamish Purdy,PRODUCTION DESIGN,False,The Revenant,$,532950503,$,135000000
8401,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,Production Design: Jack Fisk; Set Decoration: Hamish Purdy,PRODUCTION DESIGN,False,The Revenant,$,532950503,$,135000000
8402,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,Production Design: Jack Fisk; Set Decoration: Hamish Purdy,PRODUCTION DESIGN,False,The Revenant,$,532950503,$,135000000
8403,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,Production Design: Jack Fisk; Set Decoration: Hamish Purdy,PRODUCTION DESIGN,False,The Revenant,$,532950503,$,135000000
8404,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,Production Design: Jack Fisk; Set Decoration: Hamish Purdy,PRODUCTION DESIGN,False,The Revenant,$,532950503,$,135000000
8405,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,Production Design: Jack Fisk; Set Decoration: Hamish Purdy,PRODUCTION DESIGN,False,The Revenant,$,532950503,$,135000000
8406,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,Production Design: Jack Fisk; Set Decoration: Hamish Purdy,PRODUCTION DESIGN,False,The Revenant,$,532950503,$,135000000
8407,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,Martin Hernandez and Lon Bender,SOUND EDITING,False,The Revenant,$,532950503,$,135000000
8408,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,Martin Hernandez and Lon Bender,SOUND EDITING,False,The Revenant,$,532950503,$,135000000
8409,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,Martin Hernandez and Lon Bender,SOUND EDITING,False,The Revenant,$,532950503,$,135000000
8410,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,Martin Hernandez and Lon Bender,SOUND EDITING,False,The Revenant,$,532950503,$,135000000
8411,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,Martin Hernandez and Lon Bender,SOUND EDITING,False,The Revenant,$,532950503,$,135000000
8412,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,Martin Hernandez and Lon Bender,SOUND EDITING,False,The Revenant,$,532950503,$,135000000
8413,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,Martin Hernandez and Lon Bender,SOUND EDITING,False,The Revenant,$,532950503,$,135000000
8414,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,Martin Hernandez and Lon Bender,SOUND EDITING,False,The Revenant,$,532950503,$,135000000
8415,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,Martin Hernandez and Lon Bender,SOUND EDITING,False,The Revenant,$,532950503,$,135000000
8416,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,Martin Hernandez and Lon Bender,SOUND EDITING,False,The Revenant,$,532950503,$,135000000
8417,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,Martin Hernandez and Lon Bender,SOUND EDITING,False,The Revenant,$,532950503,$,135000000
8418,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,Martin Hernandez and Lon Bender,SOUND EDITING,False,The Revenant,$,532950503,$,135000000
8419,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,Martin Hernandez and Lon Bender,SOUND EDITING,False,The Revenant,$,532950503,$,135000000
8420,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,Martin Hernandez and Lon Bender,SOUND EDITING,False,The Revenant,$,532950503,$,135000000
8421,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,Martin Hernandez and Lon Bender,SOUND EDITING,False,The Revenant,$,532950503,$,135000000
8422,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,Martin Hernandez and Lon Bender,SOUND EDITING,False,The Revenant,$,532950503,$,135000000
