title,year,date_published,genre,duration,country,language,director,writer,avg_vote,budget,worldwide_gross_income,metascore,content_rating,actors,genre_first,genre2,month,season,director_power,book_label,production_power,actor1,actor2,actor3,actor4,actor5,writer1,writer2,director1,director2,title,genre,worldwide_gross_income,budget,ROI,actor_power in oscar,writer_power in oscar,director_power in oscar,G,NC17,PG,PG-13,R,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Horror,Music,Mystery,Romance,Sci-Fi,Thriller,Fall,Spring,Summer,Winter
A-Team,2010,2010-06-18,"Action, Adventure, Thriller",117,"USA, UK","English, Spanish, French, Swahili, German",Joe Carnahan,"Joe Carnahan, Brian Bloom",6.7,110000000,177238796,47,PG-13,"Liam Neeson, Bradley Cooper, Sharlto Copley, Jessica Biel, Patrick Wilson, Gerald McRaney, C. Ernst Harth, Henry Czerny, Yul Vázquez, Quinton ""Rampage"" Jackson, Brian Bloom, Maury Sterling, Terry Chen, Omari Hardwick, David Hugghins, Jacob Blair, Rad Daly, Kyle Riefsnyder, Andrew Coghlan, James O'Sullivan, Stefan Arngrim, Christian Tessier, William Stewart, Marc-Anthony Massiah, Kwesi Ameyaw, Robert Conway, Gardiner Millar, Anita Brown, Alex Madison, Benny Hernandez, Jimmy Ortega, Bo Anzo, Neil Schell, Leah Carnahan, Michael St. John Smith, Shaw Madson, Katie Boskovich, Tony Ali, Sam Radjinia, Billy Wickman, Brendan Penny, Jeanne-Melanie Haasbroek, Tom Butler, John Carnahan, Charles Cooper, Dirk Benedict, Dwight Schultz, Don Knodel, Natalie L. James, Vince Murdocco, Fraser Aitcheson, Jason Schombing, Stephane Fromont, Frank Maier, Anne Maier, Hitesh Jogia, Marwan Al-Shami, Ali Bordbar, Jennifer Cheon, Peter Fletcher, Alfred Jajjo, Jon Michael Johnson, Craig Loblaw, Patrick Merle, Julian Paul, Rafael Pellerin, Ralph Shaw, Darin Wong, Corey Burton",Action,"['Action', 'Adventure', 'Thriller']",Jun,Summer,257020491,0,14699910437,Liam Neeson, Bradley Cooper, Sharlto Copley, Jessica Biel, Patrick Wilson,Joe Carnahan, Brian Bloom,Joe Carnahan,,L'ultimo esorcismo,"Horror, Mystery, Thriller",69432527,1800000,3857.362611111111,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
The Possession,2012,2012-10-25,"Horror, Mystery, Thriller",92,"USA, Canada",English,Ole Bornedal,"Juliet Snowden, Stiles White",5.9,14000000,85446075,45,PG-13,"Jeffrey Dean Morgan, Kyra Sedgwick, Natasha Calis, Madison Davenport, Matisyahu, Grant Show, Rob LaBelle, Nana Gbewonyo, Anna Hagan, Brenda Crichlow, Jay Brazeau, Iris Quinn, Graeme Duffy, David Hovan, Chris Shields, Adam Young, Jim Thorburn, Quinn Lord, Nimet Kanji, James O'Sullivan, Marilyn Norry, Armin Chaim Kornfeld, John Cassini, Josh Whyte, Greg Rogers, Agam Darshi, Jarett John, Tim Perez, Cameron Sprague, Jordan Stein, Charles Siegel, Ari Solomon, Alex Bruhanski, Richard Newman, Robert Morrissette, Sol Pavony, Erin Simms, Frank Ferrucci, Sharmaine Yeoh, Antoine Safi, Ned Bellamy",Horror,"['Horror', 'Mystery', 'Thriller']",Oct,Fall,85446075,0,85446075,Jeffrey Dean Morgan, Kyra Sedgwick, Natasha Calis, Madison Davenport, Matisyahu,Juliet Snowden, Stiles White,Ole Bornedal,,Oltre i confini del male - Insidious 2,"Horror, Mystery, Thriller",161919318,5000000,3238.38636,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Real Steel,2011,2011-11-25,"Action, Drama, Sci-Fi",127,"USA, India","English, Ukrainian",Shawn Levy,"John Gatins, Dan Gilroy",7.1,110000000,299268508,56,PG-13,"Hugh Jackman, Dakota Goyo, Anthony Mackie, Evangeline Lilly, Kevin Durand, Hope Davis, James Rebhorn, Karl Yune, Olga Fonda, John Gatins, Sophie Levy, Tess Levy, Charlie Levy, Gregory Sims, Torey Adkins, Tom Carlson, John Hawkinson, David Alan Basche, Phil LaMarr, David Herbst, Julian Gant, Ken Alter, Leilani Barrett, Eric Gutman, Nick Yu, D.B. Dickerson, Peter Carey, Dan Lemieux, Rich Goteri, Tim Holmes, Ricky Wayne Robinson Jr., Taris Tyler, Kevin Dorman, John Manfredi",Action,"['Action', 'Drama', 'Sci-Fi']",Nov,Fall,949526187,0,9703091422,Hugh Jackman, Dakota Goyo, Anthony Mackie, Evangeline Lilly, Kevin Durand,John Gatins, Dan Gilroy,Shawn Levy,,God's Not Dead - Dio non � morto,Drama,64676349,2000000,3233.81745,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The Giver - Il mondo di Jonas,2014,2014-09-11,"Drama, Romance, Sci-Fi",97,"South Africa, Canada, USA",English,Phillip Noyce,"Michael Mitnick, Robert B. Weide",6.5,25000000,66980456,47,PG-13,"Jeff Bridges, Meryl Streep, Brenton Thwaites, Alexander Skarsgård, Katie Holmes, Odeya Rush, Taylor Swift, Cameron Monaghan, Emma Tremblay",Drama,"['Drama', 'Romance', 'Sci-Fi']",Sep,Fall,360483810,1,66980456,Jeff Bridges, Meryl Streep, Brenton Thwaites, Alexander Skarsgård, Katie Holmes,Michael Mitnick, Robert B. Weide,Phillip Noyce,,Split,"Horror, Thriller",278454358,9000000,3093.937311111111,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Toy Story 3 - La grande fuga,2010,2010-07-07,"Animation, Adventure, Comedy",103,USA,"English, Spanish",Lee Unkrich,"John Lasseter, Andrew Stanton",8.3,200000000,1066969703,92,G,"Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty, Don Rickles, Michael Keaton, Wallace Shawn, John Ratzenberger, Estelle Harris, John Morris, Jodi Benson, Laurie Metcalf, Blake Clark, Teddy Newton, Bud Luckey, Beatrice Miller, Javier Fernández-Peña, Timothy Dalton, Lori Alan, Charlie Bright, Kristen Schaal, Jeff Garlin, Bonnie Hunt, John Cygan, Jeff Pidgeon, Whoopi Goldberg, Jack Angel, R. Lee Ermey, Jan Rabson, Richard Kind, Erik von Detten, Amber Kroner, Brianna Maiwand, Jack Willis",Animation,"['Animation', 'Adventure', 'Comedy']",Jul,Summer,1874053373,0,25309406600,Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty, Don Rickles,John Lasseter, Andrew Stanton,Lee Unkrich,,Lights Out - Terrore nel buio,"Drama, Horror, Mystery",148868835,4900000,3038.139489795918,2.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Alita - Angelo della battaglia,2019,2019-02-14,"Action, Adventure, Sci-Fi",122,"USA, Japan, Canada","English, Spanish",Robert Rodriguez,"James Cameron, Laeta Kalogridis",7.3,170000000,404852543,53,PG-13,"Rosa Salazar, Christoph Waltz, Jennifer Connelly, Mahershala Ali, Ed Skrein, Jackie Earle Haley, Keean Johnson, Eiza Gonzalez, Michelle Rodriguez, Casper Van Dien",Action,"['Action', 'Adventure', 'Sci-Fi']",Feb,Winter,422349363,0,14699910437,Rosa Salazar, Christoph Waltz, Jennifer Connelly, Mahershala Ali, Ed Skrein,James Cameron, Laeta Kalogridis,Robert Rodriguez,,La notte del giudizio,"Horror, Thriller",89328627,3000000,2977.6209000000003,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Lincoln,2012,2013-01-24,"Biography, Drama, History",150,"USA, India",English,Steven Spielberg,"Tony Kushner, Doris Kearns Goodwin",7.3,65000000,275293450,86,PG-13,"Daniel Day-Lewis, Sally Field, David Strathairn, Tommy Lee Jones, Joseph Gordon-Levitt, James Spader, Hal Holbrook, John Hawkes, Jackie Earle Haley, Bruce McGill, Tim Blake Nelson, Joseph Cross, Jared Harris, Lee Pace, Peter McRobbie, Gulliver McGrath, Gloria Reuben, Jeremy Strong, Michael Stuhlbarg, Boris McGiver, David Costabile, Stephen Spinella, Walton Goggins, David Warshofsky, Colman Domingo, David Oyelowo, Lukas Haas, Dane DeHaan, Carlos Thompson, Bill Camp, Elizabeth Marvel, Byron Jennings, Julie White, Charmaine Crowell-White, Charmaine Crowell, Ralph D. Edlow, Grainger Hines, Richard Topol, Walt Smith, Dakin Matthews, James ""Ike"" Eichling, Wayne Duvall, William Raymond, Ford Flannagan, Bob Ayers, Robert Peters, John Moon Martin, Kevin O'Donnell, Jamie Horton, Joseph Dellinger, Rick Warner, Elijah Chester, Dave Hager, Sean Haggerty, Michael Shiflett, Gregory Itzin, Stephen Dunn, Stephen McKinley Henderson, Chase Edmunds, John Hutton, Robert Ruffin, Drew Sease, John Lescault, Scott Wichmann, Adam Driver, Jean Kennedy Smith, Shirley Augustine, Sarah Wylie, Margaret Ann McGowan, Hilary Montgomery, Asa-Luke Twocrow, Lancer Shull, George Turman, Robert Wilharm, Kevin Kline, John Jones, Paul Gowans, Joseph Miller, John Bellemer, Mary Dunleavy, Christopher Evan Welch, Alan Sader, Gannon McHale, Ken Lambert, Tom Belgrey, Ted Johnson, Don Henderson Baker, Raynor Scheine, Armistead Nelson Wellford, Michael Ruff, Rich Wills, Stephen Bozzo, Christopher Alan Stewart, Teddy Eck, Todd Fletcher, Charles Kinney, Joseph Carlson, Michael Goodwin, Christopher Boyer, Joe Inscoe, Edward McDonald, S. Epatha Merkerson, Robert Shepherd, Todd Hunter, Martin D. Dew, James Batchelder, Gregory Hosaflook, Joe Kerkes, William Kaffenberger, Larry Van Hoose, C. Brandon Marshall, David Graham, Benjamin Shirley, Henry Kidd, Joseph Frances Filipowski, Thomas Aldridge, Sidney Blackmer, Jr., Billy Caldwell, Glenn Crone, Theodore Ewald, Raymond Johnson, Gary Keener, Stephen Dunford, David Doersch, Christopher Cartmill",Biography,"['Biography', 'Drama', 'History']",Jan,Winter,1963426356,1,9703091422,Daniel Day-Lewis, Sally Field, David Strathairn, Tommy Lee Jones, Joseph Gordon-Levitt,Tony Kushner, Doris Kearns Goodwin,Steven Spielberg,,Paranormal Activity 4,"Horror, Mystery, Thriller",142802657,5000000,2856.05314,1.0,0.0,2.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Scott Pilgrim vs. the World,2010,2010-11-19,"Action, Comedy, Fantasy",112,"USA, UK, Canada, Japan",English,Edgar Wright,"Michael Bacall, Edgar Wright",7.5,60000000,47664559,69,PG-13,"Michael Cera, Mary Elizabeth Winstead, Kieran Culkin, Chris Evans, Anna Kendrick, Brie Larson, Alison Pill, Aubrey Plaza, Brandon Routh, Jason Schwartzman, Johnny Simmons, Mark Webber, Mae Whitman, Ellen Wong, Benjamin Lewis, Satya Bhabha, Ben Lewis, Nelson Franklin, Kristina Pesic, Ingrid Haas, Kjartan Hewitt, Chantelle Chung, Matt Watts, Erik Knudsen, Maurie W. Kaufmann, Abigail Chu, Christine Watson, Don McKellar, Emily Kassie, Jung Yul Kim, Tennessee Thomas, Keita Saito, Shota Saito, Michael Lazarovitch, John Patrick Amedori, Joe Dinicol, Craig Stickland, Marlee Otto, Will Seatle Bowes, Celine Lepage, Bill Hader, Mark Leroy",Action,"['Action', 'Comedy', 'Fantasy']",Nov,Fall,320698933,0,18598370331,Michael Cera, Mary Elizabeth Winstead, Kieran Culkin, Chris Evans, Anna Kendrick,Michael Bacall, Edgar Wright,Edgar Wright,,Il discorso del re,"Biography, Drama, History",427374317,15000000,2849.1621133333333,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Shazam!,2019,2019-04-03,"Action, Adventure, Comedy",132,"USA, Canada","English, Spanish",David F. Sandberg,"Henry Gayden, Henry Gayden",7.1,100000000,365971656,71,PG-13,"Zachary Levi, Mark Strong (II), Asher Angel, Jack Dylan Grazer, Djimon Hounsou, Faithe Herman, Grace Fulton, Ian Chen, Jovan Armand, Marta Milans, Cooper Andrews, Ron Cephas Jones, Michelle Borth, Meagan Good, Adam Brody, Ross Butler, Stephannie Hawkins, Lovina Yavari, D.J. Cotrona, Natalia Safran, John Glover, Caroline Palmer, Ava Preston, Evan Marsh, Cassandra Ebner, Andi Osho, Mitra Suri, Lotta Losten, Shayna Ryan, Heather Capuano, Cyndy Day, David Kohlsmith, Rachel Boyd, Rachel Boyde, Ethan Pugiotto, Angelica Lisk, Sara Bennani, Kerri Kamara, Krystal Kiran Garib, Simon Northwood, Paloma Nunez, Lou Lou Safran, Brian Kaulback, Carson Manning, Harper Gunn, Ali Badshah, John Stead, Adam Rodness, Jeff Sanca, David J. MacNeil, Jesse Bond, Stephen Alexander, Tosh Robertson, Pamela Matthews, Dana Reznik",Action,"['Action', 'Adventure', 'Comedy']",Apr,Spring,821356375,0,18585852641,Zachary Levi, Mark Strong (II), Asher Angel, Jack Dylan Grazer, Djimon Hounsou,Henry Gayden, Henry Gayden,David F. Sandberg,,Sinister,"Horror, Mystery, Thriller",82515113,3000000,2750.5037666666667,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Il gatto con gli stivali,2011,2011-12-16,"Animation, Adventure, Comedy",90,USA,"English, Spanish",Chris Miller,"Tom Wheeler, Brian Lynch",6.6,130000000,554987477,65,PG,"Antonio Banderas, Salma Hayek, Zach Galifianakis, Billy Bob Thornton, Amy Sedaris, Constance Marie, Guillermo del Toro, Bo Dietl, Ryan Crego, Tom Wheeler, Mike Mitchell, Bob Joles, Conrad Vernon, Nina Barry, Chris Miller, Latifa Ouaou, Tom McGrath, Bob Persichetti, Jessica Schulte",Animation,"['Animation', 'Adventure', 'Comedy']",Dec,Winter,554987477,0,9703091422,Antonio Banderas, Salma Hayek, Zach Galifianakis, Billy Bob Thornton, Amy Sedaris,Tom Wheeler, Brian Lynch,Chris Miller,,You're Next,"Horror, Mystery, Thriller",26895481,1000000,2689.5481,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
