duration,avg_vote,budget,worldwide_gross_income,metascore,director_power,book_label,production_power,worldwide_gross_income,budget,ROI,actor_power in oscar,writer_power in oscar,director_power in oscar,G,NC17,PG,PG-13,R,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Horror,Music,Mystery,Romance,Sci-Fi,Thriller,Fall,Spring,Summer,Winter
95,5.4,40000000,91627228,28,91627228,0,843176197,35185884,2000000,1759.2942,1.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
97,5.6,20000000,4627375,28,4627375,0,843176197,906884690,52000000,1744.0090192307694,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
97,6.3,25000000,29397654,44,81136203,0,18585852641,155712077,9000000,1730.134188888889,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
105,5.8,36000000,86157237,45,310813548,0,5736040139,167885588,10000000,1678.85588,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
98,7.2,135000000,587204668,55,587204668,0,9703091422,233555708,14000000,1668.2550571428571,1.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
125,5.9,58000000,50365498,46,50365498,0,14699910437,365551694,22000000,1661.598609090909,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
161,7.2,46000000,23834809,79,897378711,1,23834809,65336603,4000000,1633.415075,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
112,5.9,35000000,65100369,36,203325320,1,1234450981,323253714,20000000,1616.2685700000002,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
105,5.7,25000000,12751667,42,245796416,0,266755417,16024987,1000000,1602.4986999999999,0.0,2.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
105,6.2,25000000,9204549,38,37190337,0,63559681,319501756,20000000,1597.5087800000001,0.0,1.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
92,3.8,35000000,36351945,23,36351945,0,5486083928,3989705,250000,1595.8819999999998,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
100,6.0,25000000,26800152,28,26800152,0,26800152,157830487,9900000,1594.2473434343433,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
104,6.5,15000000,27293743,56,27293743,0,3220110091,1159443129,74000000,1566.8150391891893,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
102,4.5,25000000,83080890,25,83080890,0,83080890,15440333,1000000,1544.0333,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
91,5.9,40000000,24397992,26,24397992,0,9703091422,3852409,250000,1540.9636,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
106,6.1,20000000,30426096,35,30426096,0,1482063233,270665134,18000000,1503.6951888888889,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
143,7.0,225000000,668045518,55,2453420929,0,18585852641,194294327,13000000,1494.571746153846,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100,7.8,15000000,76976666,78,90993338,0,411902550,446486384,30000000,1488.2879466666668,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
103,5.8,150000000,139789765,43,510359539,0,18598370331,48983260,3300000,1484.3412121212123,1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
116,6.7,20000000,3364426,51,4562185,1,38531169,569651467,40000000,1424.1286675,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
96,6.8,60000000,108255770,61,108255770,0,1681312200,5664404,400000,1416.1009999999999,1.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
108,7.2,10000000,12252684,56,12252684,0,12252684,321752656,23000000,1398.9245913043478,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100,5.9,30000000,27437881,44,27437881,0,5736040139,136836156,10000000,1368.36156,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
117,8.0,5000000,55736588,80,112604589,0,55736588,22468044,1642037,1368.303150294421,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
130,7.0,60000000,218340595,50,1009461021,0,15651908509,782612155,58000000,1349.3313017241378,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
96,5.6,130000000,78324220,25,375326747,0,18598370331,39439355,3000000,1314.6451666666667,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
88,3.5,20000000,78378744,11,449902742,0,210364951,52425855,4000000,1310.646375,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
106,5.8,125000000,493214993,39,844938982,0,18585852641,91522094,7000000,1307.4584857142859,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
115,7.0,150000000,449326618,57,1479971530,0,15651908509,1034799409,80000000,1293.49926125,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
123,6.8,160000000,439048914,32,586381611,0,848354414,970766005,76000000,1277.3236907894736,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
101,7.1,8000000,6491240,63,1135190076,1,1681312200,255184580,20000000,1275.9229,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
119,7.1,15000000,64191523,66,565397953,1,465177908,44019588,3500000,1257.7025142857142,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
91,3.3,79000000,149673788,23,883060958,0,14480294208,111928365,9000000,1243.6485,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
114,6.3,23000000,7550073,42,39941018,0,74534960,246999039,20000000,1234.995195,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
